author,programming_language,hash,repo_url,severity,cvss2_integrity_impact,cvss3_integrity_impact,impact_score
KDE Dinosaur jones,C++,04906bd5de2f220bf100b605dad37b4a1d9a91a6,https://github.com/KDE/kde1-kdebase,MEDIUM,PARTIAL,,
Richard Basch,C,c5be6209311d4a8f10fda37d0d3f876c1b33b77b,https://github.com/krb5/krb5,MEDIUM,NONE,,
Tom Yu,C,cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,https://github.com/krb5/krb5,MEDIUM,NONE,,
David Woodhouse,C,f18ddf5d82de0ab7591a36e465bc24225776940f,https://github.com/krb5/krb5,HIGH,COMPLETE,,
Greg Hudson,C,524688ce87a15fc75f87efc8c039ba4c7d5c197b,https://github.com/krb5/krb5,HIGH,NONE,,
Greg Hudson,C,af0ed4df4dfae762ab5fb605f5a0c8f59cb4f6ca,https://github.com/krb5/krb5,LOW,NONE,,
Greg Hudson,C,d1f707024f1d0af6e54a18885322d70fa15ec4d3,https://github.com/krb5/krb5,LOW,NONE,,
Ben Kaduk,C,04038bf3633c4b909b5ded3072dc88c8c419bf16,https://github.com/krb5/krb5,LOW,NONE,,
Greg Hudson,C,82dc33da50338ac84c7b4102dc6513d897d0506a,https://github.com/krb5/krb5,HIGH,COMPLETE,,
Greg Hudson,C,a197e92349a4aa2141b5dff12e9dd44c2a2166e3,https://github.com/krb5/krb5,HIGH,COMPLETE,,
Greg Hudson,C,6609658db0799053fbef0d7d0aa2f1fd68ef32d8,https://github.com/krb5/krb5,MEDIUM,PARTIAL,,
Greg Hudson,C,5bb8a6b9c9eb8dd22bc9526751610aaa255ead9c,https://github.com/krb5/krb5,MEDIUM,NONE,,
Greg Hudson,C,102bb6ebf20f9174130c85c3b052ae104e5073ec,https://github.com/krb5/krb5,MEDIUM,NONE,,
Greg Hudson,C,e3b5a5e5267818c97750b266df50b6a3d4649604,https://github.com/krb5/krb5,MEDIUM,PARTIAL,,
Nicolas Williams,C,b51b33f2bc5d1497ddf5bd107f791c101695000d,https://github.com/krb5/krb5,MEDIUM,NONE,,
Nicolas Williams,C,e04f0283516e80d2f93366e0d479d13c9b5c8c2a,https://github.com/krb5/krb5,HIGH,NONE,,
Greg Hudson,C,f0c094a1b745d91ef2f9a4eae2149aac026a5789,https://github.com/krb5/krb5,MEDIUM,NONE,,
Greg Hudson,C,3db8dfec1ef50ddd78d6ba9503185995876a39fd,https://github.com/krb5/krb5,HIGH,COMPLETE,,
Greg Hudson,C,df17a1224a3406f57477bcd372c61e04c0e5a5bb,https://github.com/krb5/krb5,LOW,NONE,NONE,3.6
Greg Hudson,C,b863de7fbf080b15e347a736fdda0a82d42f4f6b,https://github.com/krb5/krb5,MEDIUM,NONE,NONE,3.6
Greg Hudson,C,83ed75feba32e46f736fcce0d96a0445f29b96c2,https://github.com/krb5/krb5,MEDIUM,NONE,NONE,3.6
Greg Hudson,C,08c642c09c38a9c6454ab43a9b53b2a89b9eef99,https://github.com/krb5/krb5,LOW,NONE,NONE,3.6
Greg Hudson,C,ffb35baac6981f9e8914f8f3bffd37f284b85970,https://github.com/krb5/krb5,MEDIUM,NONE,NONE,3.6
Greg Hudson,C,56f7b1bc95a2a3eeb420e069e7655fb181ade5cf,https://github.com/krb5/krb5,HIGH,PARTIAL,HIGH,5.9
Greg Hudson,C,fbb687db1088ddd894d975996e5f6a4252b9a2b4,https://github.com/krb5/krb5,HIGH,PARTIAL,HIGH,5.9
Greg Hudson,C,57415dda6cf04e73ffc3723be518eddfae599bfd,https://github.com/krb5/krb5,MEDIUM,NONE,NONE,3.6
Greg Hudson,C,d775c95af7606a51bf79547a94fa52ddd1cb7f49,https://github.com/krb5/krb5,MEDIUM,NONE,NONE,3.6
Steven J. Magnani,Swift,baff42ab1494528907bf4d5870359e31711746ae,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Dan Carpenter,C,0031c41be5c529f8329e327b63cde92ba1284842,https://github.com/torvalds/linux,MEDIUM,PARTIAL,HIGH,5.9
Eric Dumazet,C,6ec82562ffc6f297d0de36d65776cff8e5704867,https://github.com/torvalds/linux,HIGH,NONE,,
Oleg Nesterov,C,fa2755e20ab0c7215d99c2dc7c262e98a09b01df,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Oleg Nesterov,C,f20011457f41c11edb5ea5038ad0c8ea9f392023,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Oleg Nesterov,C,f106eee10038c2ee5b6056aaf3f6d5229be6dcdd,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Joe Perches,C,256df2f3879efdb2e9808bdb1b54b16fbb11fa38,https://github.com/torvalds/linux,HIGH,NONE,,
Jeff Layton,C,4ff67b720c02c36e54d55b88c2931879b7db1cd2,https://github.com/torvalds/linux,LOW,PARTIAL,,
Nicolas Dichtel,C,70789d7052239992824628db8133de08dc78e593,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Darren Hart,C,7ada876a8703f23befbb20a7465a702ee39b1704,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Eli Cohen,C,0926f91083f34d047abc74f1ca4fa6a9c161f7db,https://github.com/torvalds/linux,MEDIUM,PARTIAL,LOW,4.7
