Linguagem,Media linhas totais,Mediana linhas totais,Primeiro Quartil Total,Terceiro Quartil Total,Média Adicionadas,Mediana Adicionadas,Primeiro Quartil Adicionadas,Terceiro Quartil Adicionadas,Media Removidas,Mediana Removidas,Primeiro Quartil Removidas,Terceiro Quartil Removidas,Ocorrencia,MEDIA AJUSTADA
Batchfile,7.50,4.50,4.00,11.00 ,4.83,2.50,2.00,6.75,2.67,2.00,2.00,3.50,6,6.50
C#,41.68,9.00,4.00, 49.00,25.84,6.00,2.00,28.00,15.84,2.00,1.00,9.00,25,25.37
C++,19.38,8.00,4.00,20.00 ,14.64,7.00,3.00,15.00,4.75,1.00,0.00, 4.00,540,11.55
CoffeeScript,13.87,9.00,5.00,11.00 ,9.67,5.00,2.00,9.00,4.20,3.00,2.00, 4.50,15,07.08
C,23.20,8.00,3.00,20.00 ,15.62,6.00,2.00,13.00, 7.58,2.00,1.00,6.00,2177,11.76
Erlang,9.00,9.00,6.50,11.50 ,7.00,7.00,4.50,9.50,2.00,2.00,2.00,2.00,2,
Go,84.80,32.00,11.00,84.00 ,58.09,27.00,8.00,63.00, 26.71,4.00,1.00,15.00,129,46.15
Haskell,23.00,23.00,12.50,33.50 ,14.50,14.50,7.75,21.25,8.50,8.50, 4.75,12.25,2,
HTML,19.88,4.00,3.00,8.00 ,11.03,3.00,1.75,6.00,8.85,2.00,1.00,4.00,40,08.06
JavaScript,37.46,8.00,4.00,24.50 ,28.00,6.00,2.00,18.00,9.46,2.00,1.00,4.75,260,12.89
Java, 79.96,21.00,6.00,84.00 ,59.10,16.00,4.00,55.00,20.86,3.00,1.00,15.00,188,42.18
Jupyter Notebook,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,1,30.00
Lua,25.00,10.00, 7.50,25.50 ,16.62,6.50,5.00,20.00,8.38,4.00,2.00,5.50,8,17.33
Markdown,10.88,6.50,2.00, 14.25,09.02,5.50,1.00, 14.00,1.86,1.00,0,2.00,58,8.68
Matlab,30.75,31.00,5.75,56.00 ,16.50,16.50,4.00,29.00,14.25,14.50,1.75,27.00,4,39.33
Objective-C,12.69,5.00,2.00,12.50 ,08.01,3.00,2.00, 8.00,4.68,1.00,0.50,3.50,127, 6.72
Perl,18.56,7.00,4.00,20.00 ,14.00,5.00,2.00,15.00,4.56,2.00,1.00,4.00,46,11.25
PHP,48.97,9.00,4.00,28.00 ,31.27,6.00,2.00,19.00,17.70,2.00,1.00,6.00,1042,14.43
PowerShell,133.14,19.00,11.00,94.50 , 120.71,14.00,6.50,69.50,12.43,5.00,4.50,14.00,7,39.67
Python,51.44,22.00,8.00,57.75 ,39.12,15.00,5.25,44.00,12.33,3.00,1.00,11.00,230,30.95
Ruby,46.86,17.00,6.00,43.00 ,36.15, 16.00,3.00,37.00,10.71,2.00,1.00,6.00,162,22.25
Rust,44.23,15.50,4.50,59.75,36.18,12.50,4.50,48.25,08.05,2.00,0.00,8.00,22,22.84
Scala,16.76,5.00,2.00,18.00 ,14.81,3.00,1.00,16.00,1.95,1.00,1.00,3.00,21,9.11
Shell,16.16, 6.00,4.00,10.00 ,11.41,3.00,1.00,6.00,6.00,2.00, 1.00, 4.00,37,7.32
SQL,15.10,8.00,2.00,22.25 ,12.80,4.00,1.25,17.50,2.30,1.50,1.00,4.00,10,10.75
Swift,72.57,25.50, 8.25,74.50 , 60.79,19.00,4.50,69.50,11.79,4.50,3.00,10.00,14,38.10
TeX, 2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00
TypeScript,48.15, 13.00,5.00,43.75 ,34.42,11.00,2.75,30.75,13.74,2.00,1.00,6.00,72, 20.49
unknown,736.33,473.50,343.00,800.50 ,0.17,0.00,0.00,0.00,736.17,473.50,343.00,800.50,6,539.00
