Linguagem,Media linhas totais,Mediana linhas totais,Primeiro Quartil Total,Terceiro Quartil Total,Média Adicionadas,Mediana Adicionadas,Primeiro Quartil Adicionadas,Terceiro Quartil Adicionadas,Media Removidas,Mediana Removidas,Primeiro Quartil Removidas,Terceiro Quartil Removidas,Ocorrencia,MEDIA AJUSTADA
C#,-0.13442426930434953,-0.23664183343236048,-0.2224402970414645,-0.08445060737198666,0.011410499919720898,-0.45400771781078153,-0.3754554264732529,0.1631865892692264,-0.13492324745420942,-0.1988641859891757,-0.19439366589312598,-0.1747973633152992,-0.3618787008731907,-0.1335411005402803
C++,-0.3046792143868463,-0.24848413398376418,-0.2224402970414645,-0.2886862962284663,-0.4484071643390071,-0.31827345166116644,-0.186915039153351,-0.49833324034903537,-0.2183771008539869,-0.21050305863031818,-0.21043183462968545,-0.2093046712536496,0.8319932667745016,-0.27320958795682365
CoffeeScript,-0.34674669184893403,-0.23664183343236048,-0.20623233569924723,-0.3520697858735807,-0.6524512528538178,-0.5897419839603966,-0.3754554264732529,-0.8036500847882331,-0.2225159303733627,-0.18722531334803322,-0.1783554971565665,-0.20585394045981456,-0.3850606808275148,-0.31838456181731206
C,-0.27551446594670553,-0.24848413398376418,-0.23864825838368176,-0.2886862962284663,-0.4081731187163685,-0.45400771781078153,-0.3754554264732529,-0.600105521828768,-0.19708094169065327,-0.1988641859891757,-0.19439366589312598,-0.19550174807830945,4.6268833852973605,-0.27108727374861286
Go,0.19478618952781454,0.03573107924992501,-0.10898456764594368,0.16204074124790255,1.3354390420932907,2.3964118713311353,0.7557868974461586,1.9442015151645466,-0.053124925862182266,-0.17558644070689075,-0.19439366589312598,-0.1333885937892787,-0.12078610934821982,0.07646694349125165
Java,0.1578339951691022,-0.09453422681551588,-0.19002437435702998,0.16204074124790255,1.3769047421737652,0.9033349436853693,0.0016253481665509132,1.5371123892456162,-0.0971470216591794,-0.18722531334803322,-0.19439366589312598,-0.1333885937892787,0.015987572382292512,0.03634509869793203
Objective-C,-0.35575569791159534,-0.28401103563797536,-0.254856219725899,-0.3415058709327283,-0.7206027995207365,-0.8612105162596267,-0.3754554264732529,-0.8545362255280994,-0.21890386097463474,-0.21050305863031818,-0.20241275026140573,-0.21275540204748464,-0.12542250533908464,-0.3220228147456735
Rust,-0.11495565450792056,-0.15966687984823633,-0.21433631637035588,-0.008742550295877831,0.4359207363871538,0.42826501216171653,0.09589554182650188,1.1936309392515188,-0.1935441237377321,-0.1988641859891757,-0.21043183462968545,-0.18169882490296926,-0.36883329485948796,-0.15910993362015402
Scala,-0.3246822617463145,-0.28401103563797536,-0.254856219725899,-0.30277151614960285,-0.44142778907793717,-0.8612105162596267,-0.5639958137931549,-0.44744709960916906,-0.23944750567990006,-0.21050305863031818,-0.19439366589312598,-0.2162061328413197,-0.37115149285492033,-0.29786885780460703
Swift,0.1014131860139609,-0.04124387433419915,-0.15355646133704115,0.09513594662250405,1.4462879432985196,1.3105377421342146,0.09589554182650188,2.274961429973678,-0.1654000830059767,-0.16976700438631953,-0.16231732842000704,-0.1678959017276291,-0.38737887882294725,-0.004888434490164699
TypeScript,-0.08502743097772382,-0.18927263122674562,-0.20623233569924723,-0.12142430966497005,0.3636636748607823,0.2246636129372939,-0.2340501359833265,0.3031234763038587,-0.15072605107364428,-0.1988641859891757,-0.19439366589312598,-0.19550174807830945,-0.2529233950878673,-0.182859640235847
