Linguagem,Media linhas totais,Mediana linhas totais,Primeiro Quartil Total,Terceiro Quartil Total,Média Adicionadas,Mediana Adicionadas,Primeiro Quartil Adicionadas,Terceiro Quartil Adicionadas,Media Removidas,Mediana Removidas,Primeiro Quartil Removidas,Terceiro Quartil Removidas,Ocorrencia,MEDIA AJUSTADA
Batchfile,-0.3953800550855037,-0.2899321859136772,-0.2224402970414645,-0.3520697858735807,-0.8511581720513396,-0.9290776493344344,-0.3754554264732529,-0.9181439014529322,-0.2340294015818081,-0.1988641859891757,-0.1783554971565665,-0.2127554020474846,-0.4059244627864065,-0.3242461915352277
CoffeeScript,-0.346746691848934,-0.2366418334323604,-0.2062323356992472,-0.3520697858735807,-0.6524512528538178,-0.5897419839603966,-0.3754554264732529,-0.8036500847882331,-0.2225159303733627,-0.1872253133480332,-0.1783554971565665,-0.2058539404598145,-0.3850606808275148,-0.318384561817312
Erlang,-0.3839279287346631,-0.2366418334323604,-0.1819203936859213,-0.3485484808932965,-0.7620684996012109,-0.3182734516611664,0.0958955418265018,-0.7782070144183,-0.2390712484508659,-0.1988641859891757,-0.1783554971565665,-0.2231075944289897,-0.4151972547681362,
HTML,-0.3008618389365661,-0.295853336189379,-0.2386482583836817,-0.3731976157552854,-0.5966162507652579,-0.8612105162596267,-0.4225905233032284,-0.956308507007832,-0.1875240080731854,-0.1988641859891757,-0.1943936658931259,-0.2093046712536496,-0.3271057309417045,-0.3084804288456613
JavaScript,-0.1666429181047143,-0.2484841339837641,-0.2224402970414645,-0.2569945514059091,0.1000896208839041,-0.4540077178107815,-0.3754554264732529,-0.3456748181294364,-0.1829336698789687,-0.1988641859891757,-0.1943936658931259,-0.204128575062897,0.1828978280534262,-0.2596672020568115
Jupyter Notebook,-0.2235981598228949,0.0120464781471175,0.1989666978561843,-0.2182601966227836,0.1821999180729627,2.8036146697799804,4.903675418484001,0.264958870748959,-0.2541215376122324,-0.2221419312714606,-0.2104318346296854,-0.2369105176043299,-0.4175154527635686,-0.0867491253782979
Lua,-0.2617719143256968,-0.2247995328809567,-0.165712432343704,-0.2499519414453408,-0.3671179701218391,-0.3861405847359739,0.1901657354864528,-0.2439025366497039,-0.1910608260261066,-0.1755864407068907,-0.1783554971565665,-0.1989524788721444,-0.4012880667955417,-0.2147954159403533
Markdown,-0.3695745970416096,-0.2662475848108697,-0.254856219725899,-0.3291813035017338,-0.6791370994402618,-0.521874850885589,-0.5639958137931549,-0.5492193810889017,-0.2401247686921615,-0.2105030586303181,-0.2104318346296854,-0.2231075944289897,-0.2853781670239211,-0.3022145488023721
Matlab,-0.2178720966474746,0.0238887786985212,-0.1940763646925843,-0.0351523376480088,-0.3720445879531827,0.9712020767601768,0.0016253481665509,0.2140727300090927,-0.1468882273374958,-0.0533782779748947,-0.1823650393407064,-0.0505710547372377,-0.4105608587772714,0.0075422630150703
Objective-C,-0.3557556979115953,-0.2840110356379753,-0.254856219725899,-0.3415058709327283,-0.7206027995207365,-0.8612105162596267,-0.3754554264732529,-0.8545362255280994,-0.2189038609746347,-0.2105030586303181,-0.2024127502614057,-0.2127554020474846,-0.1254225053390846,-0.3220228147456735
