Linguagem,Media linhas totais,Mediana linhas totais,Primeiro Quartil Total,Terceiro Quartil Total,Média Adicionadas,Mediana Adicionadas,Primeiro Quartil Adicionadas,Terceiro Quartil Adicionadas,Media Removidas,Mediana Removidas,Primeiro Quartil Removidas,Terceiro Quartil Removidas,Ocorrencia,MEDIA AJUSTADA
Batchfile,-0.3953800550855037,-0.2899321859136772,-0.2224402970414645,-0.3520697858735807,-0.8511581720513396,-0.9290776493344343,-0.3754554264732529,-0.9181439014529322,-0.2340294015818081,-0.1988641859891757,-0.1783554971565665,-0.21275540204748464,-0.40592446278640654,-0.3242461915352277
C#,-0.13442426930434953,-0.23664183343236048,-0.2224402970414645,-0.08445060737198666,0.011410499919720898,-0.45400771781078153,-0.3754554264732529,0.1631865892692264,-0.13492324745420942,-0.1988641859891757,-0.19439366589312598,-0.1747973633152992,-0.3618787008731907,-0.1335411005402803
C++,-0.3046792143868463,-0.24848413398376418,-0.2224402970414645,-0.2886862962284663,-0.4484071643390071,-0.31827345166116644,-0.186915039153351,-0.49833324034903537,-0.2183771008539869,-0.21050305863031818,-0.21043183462968545,-0.2093046712536496,0.8319932667745016,-0.27320958795682365
CoffeeScript,-0.34674669184893403,-0.23664183343236048,-0.20623233569924723,-0.3520697858735807,-0.6524512528538178,-0.5897419839603966,-0.3754554264732529,-0.8036500847882331,-0.2225159303733627,-0.18722531334803322,-0.1783554971565665,-0.20585394045981456,-0.3850606808275148,-0.31838456181731206
C,-0.27551446594670553,-0.24848413398376418,-0.23864825838368176,-0.2886862962284663,-0.4081731187163685,-0.45400771781078153,-0.3754554264732529,-0.600105521828768,-0.19708094169065327,-0.1988641859891757,-0.19439366589312598,-0.19550174807830945,4.6268833852973605,-0.27108727374861286
Erlang,-0.38392792873466314,-0.23664183343236048,-0.18192039368592136,-0.34854848089329654,-0.7620684996012109,-0.31827345166116644,0.09589554182650188,-0.7782070144183,-0.2390712484508659,-0.1988641859891757,-0.1783554971565665,-0.22310759442898978,-0.4151972547681362,
Go,0.19478618952781454,0.03573107924992501,-0.10898456764594368,0.16204074124790255,1.3354390420932907,2.3964118713311353,0.7557868974461586,1.9442015151645466,-0.053124925862182266,-0.17558644070689075,-0.19439366589312598,-0.1333885937892787,-0.12078610934821982,0.07646694349125165
Haskell,-0.27704141612681765,-0.07084962571270843,-0.08467262563261778,-0.19361106176079473,-0.4541548851422413,0.6997335444609467,0.7086518006161832,-0.18029486072487103,-0.19015780867642465,-0.12321151382174962,-0.13425053313102797,-0.15236761315537142,-0.4151972547681362,
HTML,-0.3008618389365661,-0.29585333618937903,-0.23864825838368176,-0.37319761575528543,-0.5966162507652579,-0.8612105162596267,-0.42259052330322844,-0.956308507007832,-0.18752400807318548,-0.1988641859891757,-0.19439366589312598,-0.2093046712536496,-0.32710573094170453,-0.3084804288456613
JavaScript,-0.16664291810471438,-0.24848413398376418,-0.2224402970414645,-0.2569945514059091,0.10008962088390418,-0.45400771781078153,-0.3754554264732529,-0.34567481812943646,-0.1829336698789687,-0.1988641859891757,-0.19439366589312598,-0.20412857506289706,0.1828978280534262,-0.2596672020568115
Java,0.1578339951691022,-0.09453422681551588,-0.19002437435702998,0.16204074124790255,1.3769047421737652,0.9033349436853693,0.0016253481665509132,1.5371123892456162,-0.0971470216591794,-0.18722531334803322,-0.19439366589312598,-0.1333885937892787,0.015987572382292512,0.03634509869793203
Jupyter Notebook,-0.2235981598228949,0.012046478147117578,0.1989666978561843,-0.21826019662278368,0.18219991807296276,2.8036146697799804,4.903675418484001,0.264958870748959,-0.25412153761223244,-0.22214193127146065,-0.21043183462968545,-0.23691051760432993,-0.4175154527635686,-0.08674912537829796
Lua,-0.26177191432569685,-0.22479953288095675,-0.16571243234370409,-0.24995194144534086,-0.3671179701218391,-0.38614058473597396,0.19016573548645285,-0.2439025366497039,-0.1910608260261066,-0.17558644070689075,-0.1783554971565665,-0.19895247887214448,-0.40128806679554174,-0.2147954159403533
Markdown,-0.3695745970416096,-0.26624758481086974,-0.254856219725899,-0.3291813035017338,-0.6791370994402618,-0.521874850885589,-0.5639958137931549,-0.5492193810889017,-0.24012476869216157,-0.21050305863031818,-0.21043183462968545,-0.22310759442898978,-0.2853781670239211,-0.30221454880237214
Matlab,-0.21787209664747462,0.023888778698521296,-0.1940763646925843,-0.03515233764800882,-0.3720445879531827,0.9712020767601768,0.0016253481665509132,0.21407273000909272,-0.14688822733749582,-0.05337827797489478,-0.1823650393407064,-0.0505710547372377,-0.4105608587772714,0.007542263015070317
Objective-C,-0.35575569791159534,-0.28401103563797536,-0.254856219725899,-0.3415058709327283,-0.7206027995207365,-0.8612105162596267,-0.3754554264732529,-0.8545362255280994,-0.21890386097463474,-0.21050305863031818,-0.20241275026140573,-0.21275540204748464,-0.12542250533908464,-0.3220228147456735
Perl,-0.3109397101253058,-0.2603264345351679,-0.2224402970414645,-0.2886862962284663,-0.47468245943950593,-0.5897419839603966,-0.3754554264732529,-0.49833324034903537,-0.21980687832431672,-0.1988641859891757,-0.19439366589312598,-0.2093046712536496,-0.31319654296911004,-0.2762414653971249
