username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
autor nulo,https://github.com/bminor/glibc,2864e767053317538feafa815046fff89e5a16be,Batchfile,776.0,450.0,326.0
aegl,https://github.com/torvalds/linux,4dcc29e1574d88f4465ba865ed82800032f76418,Batchfile,175.0,128.0,47.0
kr,https://github.com/kr/beanstalkd,2e8e8c6387ecdf5923dfc4d7718d18eba1b0873d,Batchfile,9.0,7.0,2.0
pawelz,https://github.com/Dieterbe/uzbl,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,Batchfile,2.0,1.0,1.0
tenderlove,https://github.com/rails/rails,5f94b93279f6d0682fafb237c301302c107a9552,Batchfile,30.0,27.0,3.0
mvidner,https://github.com/yast/yast-core,7fe2e3df308b8b6a901cb2cfd60f398df53219de,Batchfile,281.0,239.0,42.0
davem330,https://github.com/torvalds/linux,6e5714eaf77d79ae1c8b47e3e040ff5411b717ec,Batchfile,584.0,223.0,361.0
jcameron,https://github.com/webmin/webmin,ed7365064c189b8f136a9f952062249167d1bd9e,Batchfile,3.0,3.0,0.0
autor nulo,https://github.com/mardiros/pyshop,ffadb0bcdef1e385884571670210cfd6ba351784,Batchfile,3475.0,3472.0,3.0
rjmackay,https://github.com/rjmackay/Ushahidi_Web,593719ff805a302e3ab2f2e535c875f90a04ea56,Batchfile,28091.0,27911.0,180.0
guirenard,https://github.com/nuxeo/richfaces,6cbad2a6dcb70d3e33a6ce5879b1a3ad79eb1aec,Batchfile,198.0,189.0,9.0
autor nulo,https://github.com/drk1wi/portspoof,1791fe4e2b9e5b5c8e000551ab60a64a29d924c3,Batchfile,4.0,2.0,2.0
michaeljclark,https://github.com/json-c/json-c,64e36901a0614bf64a19bc3396469c66dcd0b015,Batchfile,704.0,691.0,13.0
akheron,https://github.com/akheron/jansson,8f80c2d83808150724d31793e6ade92749b1faa4,Batchfile,995.0,873.0,122.0
bleve,https://github.com/libreswan/libreswan,ef2d756e73a188401c36133c2e2f7ce4f3c6ae55,Batchfile,94.0,53.0,41.0
autor nulo,https://github.com/facebook/hhvm,95f96e7287effe2fcdfb9a5338d1a7e4f55b083b,Batchfile,59.0,49.0,10.0
kinimodmeyer,https://github.com/IlchCMS/Ilch-2.0,381e15f39d07d3cdf6aaaa25c0f2321f817935f7,Batchfile,8161.0,8095.0,66.0
ronsigal,https://github.com/ronsigal/Resteasy,9b7d0f574cafdcf3bea5428f3145ab4908fc6d83,Batchfile,430.0,430.0,0.0
zoulasc,https://github.com/file/file,4a284c89d6ef11aca34da65da7d673050a5ea320,Batchfile,168.0,105.0,63.0
FBNeal,https://github.com/facebook/hhvm,1f91e076a585118495b976a413c1df40f6fd3d41,Batchfile,15.0,13.0,2.0
dougwilson,https://github.com/visionmedia/send,9c6ca9b2c0b880afd3ff91ce0d211213c5fa5f9a,Batchfile,32.0,30.0,2.0
mswiderski,https://github.com/droolsjbpm/jbpm,713e8073ecf45623cfc5c918c5cbf700203f46e5,Batchfile,113.0,113.0,0.0
unknwon,https://github.com/gogits/gogs,83283bca4cb4e0f4ec48a28af680f0d88db3d2c8,Batchfile,56.0,40.0,16.0
spolti,https://github.com/wildfly-security/jboss-negotiation,0dc9d191b6eb1d13b8f0189c5b02ba6576f4722e,Batchfile,93.0,9.0,84.0
