username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
gonzalop,https://github.com/mono/mono,d16d4623edb210635bec3ca3786481b82cde25a2,C#,2.0,1.0,1.0
chri4799,https://github.com/rackerlabs/openstack-guest-agents-windows-xenserver,ef16f88f20254b8083e361f11707da25f8482401,C#,635.0,521.0,114.0
serac,https://github.com/Jasig/dotnet-cas-client,f0e030014fb7a39e5f38469f43199dc590fd0e8d,C#,2.0,1.0,1.0
spouliot,https://github.com/mono/mono,1509226c41d74194c146deb173e752b8d3cdeec4,C#,80.0,59.0,21.0
spouliot,https://github.com/mono/mono,9c38772f094168d8bfd5bc73bf8925cd04faad10,C#,141.0,26.0,115.0
spouliot,https://github.com/mono/mono,b371da6b2d68b4cdd0f21d6342af6c42794f998b,C#,169.0,1.0,168.0
Shazwazza,https://github.com/umbraco/Umbraco-CMS,924a016ffe7ae7ea6d516c07a7852f0095eddbce,C#,4.0,3.0,1.0
Shazwazza,https://github.com/umbraco/Umbraco-CMS,18c3345e47663a358a042652e697b988d6a380eb,C#,132.0,116.0,16.0
dlemstra,https://github.com/ImageMagick/ImageMagick,13267a10845a8dadabed63072b537f050cec6daa,C#,19.0,14.0,5.0
autor nulo,https://github.com/recurly/recurly-client-net,9eef460c0084afd5c24d66220c8b7a381cf9a1f1,C#,104.0,52.0,52.0
galatrash,https://github.com/dnnsoftware/Dnn.Platform,d3953db85fee77bb5e6383747692c507ef8b94c3,C#,156.0,149.0,7.0
ElijahFowler,https://github.com/i7MEDIA/mojoportal,5ea8129f74c80cbf1f68b9083c745cc8a685485d,C#,9.0,5.0,4.0
nul800sebastiaan,https://github.com/umbraco/Umbraco-CMS,fe2b86b681455ac975b294652064b2718d4e2ba2,C#,4.0,2.0,2.0
nul800sebastiaan,https://github.com/umbraco/Umbraco-CMS,5dde2efe0d2b3a47d17439e03acabb7ea2befb64,C#,6.0,4.0,2.0
autor nulo,https://github.com/Ulterius/server,770d1821de43cf1d0a93c79025995bdd812a76ee,C#,7662.0,2976.0,4686.0
autor nulo,https://github.com/OPCFoundation/UA-.NET-Legacy,e2a781b38efb8686d2bd850c2f2372b5c670bc45,C#,435.0,108.0,327.0
brockallen,https://github.com/IdentityServer/IdentityServer4,21d0da227f50ac102de469a13bc5a15d2cc0f895,C#,8.0,5.0,3.0
mythz,https://github.com/ServiceStack/ServiceStack,a0e0d7de20f5d1712f1793f925496def4383c610,C#,5.0,3.0,2.0
rxtur,https://github.com/blogifierdotnet/Blogifier,3e2ae11f6be8aab82128f223c2916fab5a408be5,C#,49.0,39.0,10.0
shivambareria,https://github.com/SparkDevNetwork/Rock,576f5ec22b1c43f123a377612981c68538167c61,C#,203.0,45.0,158.0
d4nt,https://github.com/d4software/QueryTree,57b700823f8eb1a42eb3bc0c706fbe5e5f5e766f,C#,48.0,31.0,17.0
autor nulo,https://github.com/martinjw/dbschemareader,4c0ab7b1fd8c4e3140f9fd54d303f107a9c8d994,C#,598.0,468.0,130.0
mganss,https://github.com/mganss/HtmlSanitizer,a3a7602a44d4155d51ec0fbbedc2a49e9c7e2eb8,C#,15.0,14.0,1.0
muratcakir,https://github.com/smartstore/SmartStoreNET,8702c6140f4fc91956ef35dba12d24492fb3f768,C#,21.0,17.0,4.0
mythz,https://github.com/ServiceStack/ServiceStack,540d4060e877a03ae95343c1a8560a26768585ee,C#,6.0,6.0,0.0
mgesing,https://github.com/smartstore/SmartStoreNET,5ab1e37dc8d6415d04354e1a116f3d82e9555f5c,C#,5.0,5.0,0.0
AndersAbel,https://github.com/Sustainsys/Saml2,e58e0a1aff2b1ead6aca080b7cdced55ee6d5241,C#,90.0,55.0,35.0
