username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
evgenyfadeev,https://github.com/ASKBOT/askbot-devel,876e3662ff6b78cc6241338c15e3a0cb49edf4e2,CSS,250.0,202.0,48.0
kzar,https://github.com/kzar/watchadblock,5b77de6ea77e0eff2aa726d9722d64fb4964b985,CSS,132.0,84.0,48.0
serghey-rodin,https://github.com/serghey-rodin/vesta,527e4a9a62204be9b34c1338fadfe959b0fd3974,CSS,2170.0,2046.0,124.0
obenland,https://github.com/WordPress/WordPress,8c82515ab62b88fb32d01c9778f0204b296f3568,CSS,4554.0,3628.0,926.0
nilsteampassnet,https://github.com/nilsteampassnet/TeamPass,ef32e9c28b6ddc33cee8a25255bc8da54434af3e,CSS,193.0,135.0,58.0
autor nulo,https://github.com/semplon/GeniXCMS,6e21c01d87672d81080450e6913e0093a02bfab8,CSS,1097.0,710.0,387.0
kentonv,https://github.com/sandstorm-io/sandstorm,164997fb958effbc90c5328c166706280a84aaa1,CSS,670.0,539.0,131.0
farthinker,https://github.com/mycolorway/simditor,ef01a643cbb7f8163535d6bfb71135f80ec6a6fd,CSS,3646.0,2695.0,951.0
samdark,https://github.com/yiisoft/yii2,6b0be47e0fa9c532e03b07b4369050582fcf5c7a,CSS,80.0,57.0,23.0
davidtaylorhq,https://github.com/discourse/discourse,b8340c6c8e50a71ff1bca9654b9126ca5a84ce9a,CSS,391.0,271.0,120.0
davidtaylorhq,https://github.com/discourse/discourse,52387be4a44cdeaca5421ee955ba1343e836bade,CSS,332.0,217.0,115.0
GermanBluefox,https://github.com/ioBroker/ioBroker.admin,16b2b325ab47896090bc7f54b77b0a97ed74f5cd,CSS,1231.0,662.0,569.0
dignajar,https://github.com/bludit/bludit,d0843a4070c7d7fa596a7eb2130be15383013487,CSS,86.0,47.0,39.0
jcramer,https://github.com/simpleledger/slp-validate,50ad96c2798dad6b9f9a13333dd05232defe5730,CSS,480.0,312.0,168.0
jcramer,https://github.com/simpleledger/slpjs,ac8809b42e47790a6f0205991b36f2699ed10c84,CSS,2154.0,1046.0,1108.0
wouter-admiraal-sonarsource,https://github.com/SonarSource/sonarqube,2beaf73c2d10dcaaf3949889af53579e7d5aba13,CSS,179.0,110.0,69.0
LukeTowers,https://github.com/rainlab/debugbar-plugin,86dd29f9866d712de7d98f5f9dc67751b82ecd18,CSS,1804.0,1774.0,30.0
94fzb,https://github.com/94fzb/zrlog,b921c1ae03b8290f438657803eee05226755c941,CSS,950.0,907.0,43.0
billz,https://github.com/billz/raspap-webgui,dd5ab7bdc213381ee552001dd80c41ca47afab00,CSS,980.0,0.0,980.0
bobimicroweber,https://github.com/microweber/microweber,777ee9c3e7519eb3672c79ac41066175b2001b50,CSS,31.0,28.0,3.0
petersirka,https://github.com/totaljs/cms,2a26c4c6a61d3fda4527a761716ef7e1c5f7c970,CSS,10.0,6.0,4.0
stramel,https://github.com/deoxxa/dotty,88f61860dcc274a07a263c32cbe9d44c24ef02d7,CSS,432.0,241.0,191.0
Dillon-Brown,https://github.com/salesagility/SuiteCRM,f463031bee59676d7d5be53bb32d551cd70a5648,CSS,1116.0,512.0,604.0
FrederickChan,https://github.com/PHPFusion/PHPFusion,08d6c2ea49bd06fcce32275252f5f25abe61965c,CSS,63.0,52.0,11.0
autor nulo,https://github.com/wbce/wbce_cms,6ca63f0cad5f0cd606fdb69a372f09b7d238f1d7,CSS,379.0,225.0,154.0
star7th,https://github.com/star7th/showdoc,335afc7ed6d6627c3d0434aa9acc168c77117614,CSS,22.0,18.0,4.0
star7th,https://github.com/star7th/showdoc,c7f10033eba5f2b5a537f9af9ba2379138e67138,CSS,12.0,7.0,5.0
pphod,https://github.com/jsuites/jsuites,d47a6f4e143188dde2742f4cffd313e1068ad3b3,CSS,160.0,107.0,53.0
pphod,https://github.com/jsuites/jsuites,fe1d3cc5e339f2f4da8ed1f9f42271fdf9cbd8d2,CSS,189.0,159.0,30.0
star7th,https://github.com/star7th/showdoc,3ff0c85d439ccbdfadeb96b5a52acf6318041109,CSS,118.0,61.0,57.0
kevinpapst,https://github.com/kevinpapst/kimai2,dad1b8b772947f1596175add1b4f33b791705507,CSS,3856.0,1775.0,2081.0
muhsin-k,https://github.com/chatwoot/chatwoot,27ddd77a1b621f503fe89a436a49f44b0b1204b5,CSS,81.0,52.0,29.0
faburem,https://github.com/kromitgmbh/titra,7f09078a2ab88c35f2375c5f67bd0336c0e6c7a1,CSS,370.0,230.0,140.0
SchrodingersGat,https://github.com/inventree/inventree,63b4ff3eb6e80861962fafe79c9b483cd7239d6c,CSS,283.0,173.0,110.0
ftkg,https://github.com/heroiclabs/nakama,ce8d3921e2acd44ef8b5e6edfe595b6df067b166,CSS,2735.0,1528.0,1207.0
emanuelfranklyn,https://github.com/math-geon/Geon,005456d752d5434b60026edbc83b2665b8557d19,CSS,143.0,127.0,16.0
