username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
gashcrumb,https://github.com/jboss-fuse/fuse,e280cb370323eeb759030919d5111ed809e8ded5,CoffeeScript,10.0,5.0,5.0
autor nulo,https://github.com/SquareSquash/web,6d667c19e96e4f23dccbfbe24afeebd18e98e1c5,CoffeeScript,85.0,57.0,28.0
nealpoole,https://github.com/github/hubot-scripts,feee5abdb038a229a98969ae443cdb8a61747782,CoffeeScript,10.0,6.0,4.0
aweiteka,https://github.com/openstack/heat-templates,65a4f8bebc72da71c616e2e378b7b1ac354db1a3,CoffeeScript,46.0,19.0,27.0
Eugeny,https://github.com/Eugeny/ajenti,3270fd1d78391bb847b4c9ce37cf921f485b1310,CoffeeScript,13.0,9.0,4.0
jiridostal,https://github.com/spacewalkproject/spacewalk,dd418384171473c3e31386a1b4792f8c555dc744,CoffeeScript,16.0,8.0,8.0
autor nulo,https://github.com/thoughtbot/paperclip,9aee4112f36058cd28d5fe4a006d6981bd1eda57,CoffeeScript,74.0,54.0,20.0
autor nulo,https://github.com/sysphonic/thetis,1b8234706e1294f41df42f3d1ccb71b983ffbe23,CoffeeScript,228.0,138.0,90.0
braekling,https://github.com/braekling/WP-Matomo,5110bfdb437a9f19b185ba8af33776fcb5e19940,CoffeeScript,10735.0,5150.0,5585.0
robrap,https://github.com/edx/edx-platform,d54f79f5bf3e1af17063937df1abc0026843412d,CoffeeScript,633.0,399.0,234.0
greghaynes,https://github.com/openstack-infra/puppet-gerrit,8573c2ee172f66c1667de49685c88fdc8883ca8b,CoffeeScript,2.0,0.0,2.0
gsnedders,https://github.com/html5lib/html5lib-python,9b8d8eb5afbc066b7fac9390f5ec75e5e8a7cab7,CoffeeScript,143.0,132.0,11.0
rhysd,https://github.com/rhysd/Shiba,e8a65b0f81eb04903eedd29500d7e1bedf249eab,CoffeeScript,175.0,6.0,169.0
gdpelican,https://github.com/loomio/loomio,63973f71e337ead8ca7b7ae2a043b837032dc3fe,CoffeeScript,48.0,22.0,26.0
jglick,https://github.com/jenkinsci/jenkins,e6aa166246d1734f4798a9e31f78842f4c85c28b,CoffeeScript,605.0,517.0,88.0
jglick,https://github.com/jenkinsci/jenkins,3cd946cbef82c6da5ccccf3890d0ae4e091c4265,CoffeeScript,205.0,196.0,9.0
sventantau,https://github.com/igniterealtime/Openfire,ed3492a24274fd454afe93a499db49f3d6335108,CoffeeScript,558.0,293.0,265.0
isaacs,https://github.com/npm/node-tar,b0c58433c22f5e7fe8b1c76373f27e3f81dcd4c8,CoffeeScript,79.0,77.0,2.0
scott,https://github.com/helpyio/helpy,a26dd854deb17e36a605f91a6f51d128e98d3818,CoffeeScript,38.0,22.0,16.0
autor nulo,https://github.com/myshenin/aws-lambda-multipart-parser,56ccb03af4dddebc2b2defb348b6558783d5757e,CoffeeScript,4.0,2.0,2.0
zkat,https://github.com/zkat/ssri,d0ebcdc22cb5c8f47f89716d08b3518b2485d65d,CoffeeScript,21.0,12.0,9.0
