username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
acydburn,https://github.com/phpbb/phpbb3,4ea3402f9363c9259881bc8ea6ce7fc6cb212657,HTML,33.0,27.0,6.0
rodnaph,https://github.com/rodnaph/sockso,fe2d895ea8eb8b8ccad5a3319f472e45d6ba5136,HTML,8.0,4.0,4.0
scottgonzalez,https://github.com/jquery/jquery-ui,5fee6fd5000072ff32f2d65b6451f39af9e0e39e,HTML,2.0,1.0,1.0
scottgonzalez,https://github.com/jquery/jquery-ui,f2854408cce7e4b7fc6bf8676761904af9c96bde,HTML,20.0,18.0,2.0
kohsuke,https://github.com/jenkinsci/jenkins,a9aff088f327278a8873aef47fa8f80d3c5932fd,HTML,1221.0,1066.0,155.0
kreinhard,https://github.com/micromata/projectforge-webapp,422de35e3c3141e418a73bfb39b430d5fd74077e,HTML,185.0,165.0,20.0
gashcrumb,https://github.com/hawtio/hawtio,5289715e4f2657562fdddcbad830a30969b96e1e,HTML,134.0,123.0,11.0
rhuss,https://github.com/rhuss/jolokia,2d9b168cfbbf5a6d16fa6e8a5b34503e3dc42364,HTML,220.0,166.0,54.0
nul800sebastiaan,https://github.com/Umbraco/Umbraco-CMS,cad06502235acabf7fb7dca779d2f78f08547e39,HTML,4.0,2.0,2.0
oyvindkinsey,https://github.com/oyvindkinsey/easyXDM,a3194d32c25a0d27a10a47304eb9c9be93ffbf13,HTML,15.0,14.0,1.0
vjuranek,https://github.com/jenkinsci/jenkins,16931bd7bf7560e26ef98328b8e95e803d0e90f6,HTML,1.0,1.0,0.0
opengeek,https://github.com/modxcms/revolution,77463eb6a8090f474b04fdc1b72225cb93c558ea,HTML,9.0,6.0,3.0
evgenyfadeev,https://github.com/ASKBOT/askbot-devel,a676a86b6b7a5737d4da4f59f71e037406f88d29,HTML,7.0,4.0,3.0
siloraptor,https://github.com/mayan-edms/mayan-edms,398c480c10416d76e7c1dcb607e726e8fc988e72,HTML,88.0,42.0,46.0
sidler,https://github.com/kajona/kajonacms,4a07f949c171da6aa9a6e6c19421b0df16297180,HTML,8.0,4.0,4.0
opengeek,https://github.com/modxcms/revolution,e36f80f18e9514204bf2ce82747c8adf7e47a9c9,HTML,5.0,3.0,2.0
xhezairbey,https://github.com/chyrp/chyrp,43d1b6b266363ae7545d5d49851034eaeec7bebb,HTML,6.0,3.0,3.0
fe-hicking,https://github.com/s9y/Serendipity,36cde3030aaa27a46bf94086e062dfe56b60230b,HTML,12.0,9.0,3.0
kohsuke,https://github.com/jenkinsci/jenkins,582128b9ac179a788d43c1478be8a5224dc19710,HTML,48.0,42.0,6.0
jiridostal,https://github.com/spacewalkproject/spacewalk,f3792c79c1c251a49cc4e382be8591636326a794,HTML,4.0,3.0,1.0
Shrhawk,https://github.com/edx/edx-platform,a1ffcc52594b1e7240501aab0ea145f1da3edb5a,HTML,24.0,18.0,6.0
autor nulo,https://github.com/sysphonic/thetis,c07e255d2296d50a0bffafaf66a76f8f1b53621f,HTML,131.0,76.0,55.0
jstanden,https://github.com/wgm/cerb,12de87ff9961a4f3ad2946c8f47dd0c260607144,HTML,325.0,308.0,17.0
tomjelinek,https://github.com/ClusterLabs/pcs,acdbbe8307e6f4a36b2c7754765e732e43fe8d17,HTML,277.0,220.0,57.0
