username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
jzaefferer,https://github.com/jquery/jquery-ui,7e9060c109b928769a664dbcc2c17bd21231b6f3,JavaScript,13.0,9.0,4.0
lem9,https://github.com/phpmyadmin/phpmyadmin,bda213c58aec44925be661acb0e76c19483ea170,JavaScript,22.0,17.0,5.0
chipx86,https://github.com/reviewboard/reviewboard,7a0a9d94555502278534dedcf2d75e9fccce8c3d,JavaScript,11.0,9.0,2.0
nijel,https://github.com/phpmyadmin/phpmyadmin,86073d532aed656550cb731aa5b4288b126ae7a6,JavaScript,10.0,5.0,5.0
LukasReschke,https://github.com/owncloud/core,d203fa2c50f4b2791e68e2b8ab9a0f8b94f9c9f8,JavaScript,2.0,1.0,1.0
icewind1991,https://github.com/owncloud/core,8f616ecf76aac4a8b554fbf5a90b1645d0f25438,JavaScript,12.0,9.0,3.0
alecpl,https://github.com/roundcube/roundcubemail,c086978f6a91eacb339fd2976202fca9dad2ef32,JavaScript,64.0,30.0,34.0
madhuracj,https://github.com/phpmyadmin/phpmyadmin,6ea8fad3f999bfdf79eb6fe31309592bca54d611,JavaScript,8.0,4.0,4.0
nijel,https://github.com/phpmyadmin/phpmyadmin,50edafc0884aa15d0a1aa178089ac6a1ad2eb18a,JavaScript,14.0,7.0,7.0
nijel,https://github.com/phpmyadmin/phpmyadmin,a547f3d3e2cf36c6a904fa3e053fd8bddd3fbbb0,JavaScript,4.0,2.0,2.0
slusarz,https://github.com/horde/horde,1550c6ecd7204f9579fcbb09ec7089e01b0771e2,JavaScript,11.0,7.0,4.0
yunosh,https://github.com/horde/horde,1228a6825a8dab3333d0a8c8986fc10d1f3d11b2,JavaScript,14.0,9.0,5.0
timmywil,https://github.com/jquery/jquery,05531fc4080ae24070930d15ae0cea7ae056457d,JavaScript,33.0,21.0,12.0
drbrain,https://github.com/rdoc/rdoc,ffa87887ee0517793df7541629a470e331f9fe60,JavaScript,74.0,65.0,9.0
bharat,https://github.com/gallery/gallery3,80bb0f2222dd99ed2ce59e804b833bab63cc376a,JavaScript,118.0,91.0,27.0
chipx86,https://github.com/reviewboard/reviewboard,4aaacbb1e628a80803ba1a55703db38fccdf7dbf,JavaScript,6.0,4.0,2.0
nijel,https://github.com/phpmyadmin/phpmyadmin,240b8332db53dedc27baeec5306dabad3bdece3b,JavaScript,49.0,48.0,1.0
nijel,https://github.com/phpmyadmin/phpmyadmin,24d0eb55203b029f250c77d63f2900ffbe099e8b,JavaScript,16.0,6.0,10.0
natsumetakashi,https://github.com/kanaka/noVNC,ad941faddead705cd611921730054767a0b32dcd,JavaScript,13.0,9.0,4.0
JamesMGreene,https://github.com/zeroclipboard/zeroclipboard,2f9eb9750a433965572d047e24b0fc78fd1415ca,JavaScript,16.0,13.0,3.0
chieffancypants,https://github.com/tojocky/node-printer,e001e38738c17219a1d9dd8c31f7d82b9c0013c7,JavaScript,2.0,1.0,1.0
nilsteampassnet,https://github.com/nilsteampassnet/TeamPass,fd549b245c0f639a8d47bf4f74f92c37c053706f,JavaScript,273.0,241.0,32.0
nilsteampassnet,https://github.com/nilsteampassnet/TeamPass,7715512f2bd5659cc69e063a1c513c19e384340f,JavaScript,1832.0,1477.0,355.0
nilsteampassnet,https://github.com/nilsteampassnet/TeamPass,8820c8934d9ba0508ac345e73ad0be29049ec6de,JavaScript,196.0,112.0,84.0
lem9,https://github.com/phpmyadmin/phpmyadmin,29a1f56495a7d1d98da31a614f23c0819a606a4d,JavaScript,6.0,4.0,2.0
madhuracj,https://github.com/phpmyadmin/phpmyadmin,2c45d7caa614afd71dbe3d0f7270f51ce5569614,JavaScript,3.0,2.0,1.0
madhuracj,https://github.com/phpmyadmin/phpmyadmin,647c9d12e33a6b64e1c3ff7487f72696bdf2dccb,JavaScript,3.0,2.0,1.0
madhuracj,https://github.com/phpmyadmin/phpmyadmin,90ddeecf60fc029608b972e490b735f3a65ed0cb,JavaScript,3.0,2.0,1.0
madhuracj,https://github.com/phpmyadmin/phpmyadmin,cd9f302bf7f91a160fe7080f9a612019ef847f1c,JavaScript,3.0,2.0,1.0
madhuracj,https://github.com/phpmyadmin/phpmyadmin,0cd293f5e13aa245e4a57b8d373597cc0e421b6f,JavaScript,5.0,4.0,1.0
lem9,https://github.com/phpmyadmin/phpmyadmin,33b39f9f1dd9a4d27856530e5ac004e23b30e8ac,JavaScript,80.0,67.0,13.0
X-oss-byte,https://github.com/substack/node-syntax-error,9aa4e66eb90ec595d2dba55e6f9c2dd9a668b309,JavaScript,7.0,5.0,2.0
nvcexploder,https://github.com/hapijs/bassmaster,b751602d8cb7194ee62a61e085069679525138c4,JavaScript,10.0,2.0,8.0
madhuracj,https://github.com/phpmyadmin/phpmyadmin,7b8962dede7631298c81e2c1cd267b81f1e08a8c,JavaScript,5.0,3.0,2.0
autor nulo,https://github.com/wp-plugins/w3-total-cache,9a1cc9f70558282e135eb3120d271448c75b28dd,JavaScript,2027.0,2005.0,22.0
skoranga,https://github.com/skoranga/node-dns-sync,d9abaae384b198db1095735ad9c1c73d7b890a0d,JavaScript,32.0,25.0,7.0
cgx,https://github.com/inverse-inc/sogo,1a7fc2a0e90a19dfb1fce292ae5ff53aa513ade9,JavaScript,33.0,23.0,10.0
cgx,https://github.com/inverse-inc/sogo,3a5e44e7eb8b390b67a8f8a83030b49606956501,JavaScript,8.0,4.0,4.0
cgx,https://github.com/inverse-inc/sogo,80a09407652ec04e8c9fb6cb48e1029e69a15765,JavaScript,38.0,30.0,8.0
cgx,https://github.com/inverse-inc/sogo,c94595ea7f0f843c2d7abf25df039b2bbe707625,JavaScript,12.0,6.0,6.0
webzwo0i,https://github.com/ether/etherpad-lite,a0fb65205c7d7ff95f00eb9fd88e93b300f30c3d,JavaScript,12.0,11.0,1.0
autor nulo,https://github.com/markdown-it/markdown-it,f76d3beb46abd121892a2e2e5c78376354c214e3,JavaScript,46.0,41.0,5.0
julianlam,https://github.com/julianlam/nodebb-plugin-markdown,ab7f2684750882f7baefbfa31db8d5aac71e6ec3,JavaScript,17.0,14.0,3.0
0x46616c6b,https://github.com/ether/etherpad-lite,0fa7650df8f940ed6b577d79836a78eb09726c4b,JavaScript,1.0,0.0,1.0
SachaG,https://github.com/VulcanJS/Vulcan,827a15dc7422b2447f3a2e395b5e511379002ea4,JavaScript,7.0,6.0,1.0
devoidfury,https://github.com/ether/etherpad-lite,5409eb314c4e072b9760b8d30b985fa0bb96a006,JavaScript,8.0,6.0,2.0
shlomizadok,https://github.com/theforeman/foreman,4f3555b217be8723e8045f9816d147b5f684ec57,JavaScript,6.0,3.0,3.0
iglocska,https://github.com/MISP/MISP,812ac878c3645c02e2a599287117418424cbd4cf,JavaScript,10.0,8.0,2.0
vesse,https://github.com/vesse/node-ldapauth-fork,3feea43e243698bcaeffa904a7324f4d96df60e4,JavaScript,17.0,16.0,1.0
toberndo,https://github.com/openpgpjs/openpgpjs,668a9bbe7033f3f475576209305eb57a54306d29,JavaScript,10.0,10.0,0.0
Bloke,https://github.com/textpattern/textpattern,1c09094187b9aeb18f09697bc7d1db12d078ae10,JavaScript,396.0,313.0,83.0
devsnd,https://github.com/devsnd/cherrymusic,62dec34a1ea0741400dd6b6c660d303dcd651e86,JavaScript,11.0,8.0,3.0
autor nulo,https://github.com/broofa/node-uuid,672f3834ed02c798aa021c618d0a5666c8da000d,JavaScript,79.0,60.0,19.0
gnachman,https://github.com/gnachman/iTerm2,33ccaf61e34ef32ffc9d6b2be5dd218f6bb55f51,JavaScript,229.0,3.0,226.0
jfromaniello,https://github.com/auth0/node-jsonwebtoken,1bb584bc382295eeb7ee8c4452a673a77a68b687,JavaScript,34.0,33.0,1.0
stash-sfdc,https://github.com/salesforce/tough-cookie,e4fc2e0f9ee1b7a818d68f0ac7ea696f377b1534,JavaScript,31.0,19.0,12.0
oliversalzburg,https://github.com/oliversalzburg/i18n-node-angular,877720d2d9bb90dc8233706e81ffa03f99fc9dc8,JavaScript,5.0,4.0,1.0
rauchg,https://github.com/socketio/engine.io-client,2c55b278a491bf45313ecc0825cf800e2f7ff5c1,JavaScript,2.0,1.0,1.0
