username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
ebruchez,https://github.com/orbeon/orbeon-forms,aba6681660f65af7f1676434da68c10298c30200,Java,41.0,16.0,25.0
rotty3000,https://github.com/liferay/liferay-portal,90c4e85a8f8135f069f3f05e4d54a77704769f91,Java,962.0,845.0,117.0
kohsuke,https://github.com/jenkinsci/winstone,410ed3001d51c689cf59085b7417466caa2ded7b,Java,21.0,19.0,2.0
dgoodwin,https://github.com/candlepin/candlepin,f4d93230e58b969c506b4c9778e04482a059b08c,Java,167.0,122.0,45.0
kohsuke,https://github.com/jenkinsci/jenkins,3dc13b957b14cec649036e8dd517f0f9cb21fb04,Java,9.0,8.0,1.0
kohsuke,https://github.com/jenkinsci/jenkins,4895eaafca468b7f0f1a3166b2fca7414f0d5da5,Java,881.0,859.0,22.0
kohsuke,https://github.com/jenkinsci/jenkins,94a8789b699132dd706021a6be1b78bc47f19602,Java,36.0,34.0,2.0
kohsuke,https://github.com/jenkinsci/jenkins,c3d8e05a1b3d58b6c4dcff97394cb3a79608b4b2,Java,45.0,40.0,5.0
kingfo,https://github.com/jonrohan/ZeroClipboard,a0e02933f5f7ce5f364fbad36a005f0a349f0696,Java,2.0,1.0,1.0
thepag,https://github.com/happyworm/jPlayer,e8ca190f7f972a6a421cb95f09e138720e40ed6d,Java,22.0,11.0,11.0
thepag,https://github.com/happyworm/jPlayer,c5fe17bb4459164bd59153b57248cf94b8867373,Java,12.0,6.0,6.0
thepag,https://github.com/happyworm/jPlayer,8ccc429598d62eebe9f65a0a4e6fd406a123c8b4,Java,65.0,34.0,31.0
thepag,https://github.com/happyworm/jPlayer,c2417972af1295be8dcc07470b0e3d25b0a77e0b,Java,36.0,17.0,19.0
chirino,https://github.com/fusesource/hawtjni,92c266170ce98edc200c656bd034a237098b8aa5,Java,79.0,29.0,50.0
kohsuke,https://github.com/jenkinsci/subversion-plugin,7d4562d6f7e40de04bbe29577b51c79f07d05ba6,Java,24.0,14.0,10.0
autor nulo,https://github.com/seam2/jboss-seam,090aa6252affc978a96c388e3fc2c1c2688d9bb5,Java,34.0,21.0,13.0
salaboy,https://github.com/kiegroup/jbpm-wb,4818204506e8e94645b52adb9426bedfa9ffdd04,Java,3.0,2.0,1.0
kreinhard,https://github.com/micromata/projectforge-webapp,5a6a25366491443b76e528a04a9e4ba26f08a83c,Java,44.0,43.0,1.0
jglick,https://github.com/jenkinsci/jenkins,36342d71e29e0620f803a7470ce96c61761648d8,Java,24.0,19.0,5.0
pslegr,https://github.com/pslegr/core-1,8131f15003f5bec73d475d2b724472e4b87d0757,Java,4.0,2.0,2.0
