username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
Synchro,https://github.com/PHPMailer/PHPMailer,8beacc646acb67c995aea10ac5585970efc7355a,Markdown,8.0,8.0,0.0
macournoyer,https://github.com/macournoyer/thin,7bd027914c5ffd36bb408ef47dc749de3b6e063a,Markdown,17.0,7.0,10.0
tseaver,https://github.com/zopefoundation/Zope,2abdf14620f146857dc8e3ffd2b6a754884c331d,Markdown,16.0,16.0,0.0
kraih,https://github.com/kraih/mojo,b3a1fb453eda447c0bb082cd9eed81bb75a7564a,Markdown,6.0,2.0,4.0
kraih,https://github.com/kraih/mojo,b09854988c5b5b6a2ba53cc8661c4b2677da3818,Markdown,29.0,25.0,4.0
helmo,https://github.com/phpmyadmin/phpmyadmin,2f28ce9c800274190418da0945ce3647d36e1db6,Markdown,3.0,2.0,1.0
ioguix,https://github.com/phppgadmin/phppgadmin,1df248203de055f97e092b50b1dd9643ccb73842,Markdown,6.0,3.0,3.0
lem9,https://github.com/phpmyadmin/phpmyadmin,c51817d3b8cb05ff54dca9373c0667e29b8498d4,Markdown,7.0,6.0,1.0
alecpl,https://github.com/roundcube/roundcubemail,5ef8e4ad9d3ee8689d2b83750aa65395b7cd59ee,Markdown,9.0,7.0,2.0
mynetx,https://github.com/phpmyadmin/phpmyadmin,0f0c2f1e2b3ece41cc1bb99a9931c8fcc7c917bc,Markdown,43.0,25.0,18.0
spocke,https://github.com/tinymce/tinymce_spellchecker_php,22910187bfb9edae90c26e10100d8145b505b974,Markdown,4.0,4.0,0.0
alecpl,https://github.com/roundcube/roundcubemail,74cd0a9b62f11bc07c5a1d3ba0098b54883eb0ba,Markdown,17.0,16.0,1.0
jonrohan,https://github.com/jonrohan/ZeroClipboard,51b67b6d696f62aaf003210c08542588222c4913,Markdown,3.0,2.0,1.0
nabeelio,https://github.com/nshahzad/phpVMS,7303aa072061388eba06f0c5a701c688096ebccc,Markdown,670.0,335.0,335.0
yunosh,https://github.com/horde/horde,08c699f744b6d2be1a5f3a2ba7203f4631b4c5dc,Markdown,28.0,14.0,14.0
wichert,https://github.com/pyradius/pyrad,38f74b36814ca5b1a27d9898141126af4953bee5,Markdown,16.0,13.0,3.0
elmar,https://github.com/elmar/ldap-git-backup,a90f3217fce87962db82d212f73af70693087124,Markdown,16.0,14.0,2.0
autor nulo,https://github.com/markevans/dragonfly,a8775aacf9e5c81cf11bec34b7afa7f27ddfe277,Markdown,2.0,2.0,0.0
jnunemaker,https://github.com/jnunemaker/httparty,53a812426dd32108d6cba4272b493aa03bc8c031,Markdown,32.0,7.0,25.0
audreyt,https://github.com/audreyt/module-signature,575f7bd6ba4cc7c92f841e8758f88a131674ebf2,Markdown,23.0,18.0,5.0
audreyt,https://github.com/audreyt/module-signature,cbd06b392a73c63159dc5c20ff5b3c8fc88c4896,Markdown,15.0,12.0,3.0
wernerd,https://github.com/wernerd/ZRTPCPP,4654f330317c9948bb61d138eb24d49690ca4637,Markdown,107.0,101.0,6.0
schneems,https://github.com/schneems/wicked,fe31bb2533fffc9d098c69ebeb7afc3b80509f53,Markdown,33.0,31.0,2.0
mkdynamic,https://github.com/mkdynamic/omniauth-facebook,ccfcc26fe7e34acbd75ad4a095fd01ce5ff48ee7,Markdown,29.0,9.0,20.0
lem9,https://github.com/phpmyadmin/phpmyadmin,012464268420e53a9cd81cbb4a43988d70393c36,Markdown,21.0,21.0,0.0
lem9,https://github.com/phpmyadmin/phpmyadmin,66fe475d4f51b1761719cb0cab360748800373f7,Markdown,2.0,2.0,0.0
