username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
autor nulo,https://github.com/irmen/Pyro3,554e095a62c4412c91f981e72fd34a936ac2bf1e,Python,8.0,7.0,1.0
stpierre,https://github.com/solj/bcfg2,f4a35efec1b6a1e54d61cf1b8bfc83dd1d89eef7,Python,49.0,21.0,28.0
toastdriven,https://github.com/toastdriven/django-tastypie,e8af315211b07c8f48f32a063233cc3f76dd5bc2,Python,102.0,51.0,51.0
ttx,https://github.com/openstack/nova,ad3241929ea00569c74505ed002208ce360c667e,Python,24.0,23.0,1.0
dprince,https://github.com/openstack/nova,1f644d210557b1254f7c7b39424b09a45329ade7,Python,248.0,238.0,10.0
autor nulo,https://github.com/openstack/horizon,041b1c44c7d6cf5429505067c32f8f35166a8bab,Python,79.0,75.0,4.0
autor nulo,https://github.com/Legrandin/pycrypto,9f912f13df99ad3421eff360d6a62d7dbec755c2,Python,64.0,40.0,24.0
vishvananda,https://github.com/openstack/nova,ff06c7c885dc94ed7c828e8cdbb8b5d850a7e654,Python,8.0,4.0,4.0
russellb,https://github.com/openstack/nova,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,Python,91.0,66.0,25.0
stpierre,https://github.com/Bcfg2/bcfg2,a524967e8d5c4c22e49cd619aed20c87a316c0be,Python,40.0,25.0,15.0
dprince,https://github.com/openstack/nova,034762e8060dcf0a11cb039b9d426b0d0bb1801d,Python,13.0,9.0,4.0
derekhiggins,https://github.com/openstack/keystone,375838cfceb88cacc312ff6564e64eb18ee6a355,Python,15.0,14.0,1.0
derekhiggins,https://github.com/openstack/keystone,628149b3dc6b58b91fd08e6ca8d91c728ccb8626,Python,57.0,44.0,13.0
derekhiggins,https://github.com/openstack/keystone,a67b24878a6156eab17b9098fa649f0279256f5d,Python,76.0,75.0,1.0
autor nulo,https://github.com/openstack/nova,ce4b2e27be45a85b310237615c47eb53f37bb5f3,Python,53.0,36.0,17.0
bbangert,https://github.com/bbangert/beaker,91becae76101cf87ce8cbfabe3af2622fc328fe5,Python,11.0,6.0,5.0
dolph,https://github.com/openstack/keystone,c13d0ba606f7b2bdc609a7f388334e5efec3f3aa,Python,1.0,1.0,0.0
dolph,https://github.com/openstack/keystone,1d146f5c32e58a73a677d308370f147a3271c2cb,Python,40.0,40.0,0.0
dolph,https://github.com/openstack/keystone,868054992faa45d6f42d822bf1588cb88d7c9ccb,Python,12.0,12.0,0.0
dolph,https://github.com/openstack/keystone,4ebfdfaf23c6da8e3c182bf3ec2cb2b7132ef685,Python,61.0,60.0,1.0
ptone,https://github.com/django/django,9305c0e12d43c4df999c3301a1f0c742264a657e,Python,45.0,44.0,1.0
autor nulo,https://github.com/openstack/glance,6ab0992e5472ae3f9bef0d2ced41030655d9d2bc,Python,45.0,39.0,6.0
markwash,https://github.com/openstack/glance,b591304b8980d8aca8fa6cda9ea1621aca000c88,Python,33.0,24.0,9.0
dolph,https://github.com/openstack/keystone,38c7e46a640a94da4da89a39a5a1ea9c081f1eb5,Python,58.0,58.0,0.0
vishvananda,https://github.com/openstack/keystone,9d68b40cb9ea818c48152e6c712ff41586ad9653,Python,17.0,10.0,7.0
autor nulo,https://github.com/openstack/nova,9d2ea970422591f8cdc394001be9a2deca499a5f,Python,47.0,47.0,0.0
dprince,https://github.com/openstack/glance,e96273112b5b5da58d970796b7cfce04c5030a89,Python,22.0,10.0,12.0
dprince,https://github.com/openstack/keystone,7691276b869a86c2b75631d5bede9f61e030d9d8,Python,132.0,127.0,5.0
dlitz,https://github.com/dlitz/pycrypto,19dcf7b15d61b7dc1a125a367151de40df6ef175,Python,196.0,196.0,0.0
wting,https://github.com/wting/autojump,ad09ee27d402be797b3456abff6edeb4291edfec,Python,8.0,4.0,4.0
wting,https://github.com/wting/autojump,c763b2afadb188ab52849c21d43d2e8fe5b8800a,Python,9.0,5.0,4.0
jacobian,https://github.com/django/django,cbe6d5568f4f5053ed7228ca3c3d0cce77cf9560,Python,24.0,15.0,9.0
TomasTomecek,https://github.com/scipy/scipy,bd296e0336420b840fcd2faabb97084fd252a973,Python,485.0,436.0,49.0
fujiwarat,https://github.com/ibus/ibus-anthy,6aae0a9f145f536515e268dd6b25aa740a5edfe7,Python,14.0,14.0,0.0
jacobian,https://github.com/django/django,ae3535169af804352517b7fea94a42a1c9c4b762,Python,15.0,10.0,5.0
themoken,https://github.com/themoken/canto-curses,2817869f98c54975f31e2dd674c1aefa70749cca,Python,5.0,5.0,0.0
alex,https://github.com/alex/rply,fc9bbcd25b0b4f09bbd6339f710ad24c129d5d7c,Python,15.0,11.0,4.0
juliantaylor,https://github.com/numpy/numpy,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,Python,101.0,50.0,51.0
wiredfool,https://github.com/python-imaging/Pillow,4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,Python,28.0,18.0,10.0
jimi-c,https://github.com/ansible/ansible,8ed6350e65c82292a631f08845dfaacffe7f07f5,Python,60.0,41.0,19.0
wiredfool,https://github.com/python-pillow/Pillow,205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,Python,12.0,12.0,0.0
chipx86,https://github.com/djblets/djblets,77a68c03cd619a0996f3f37337b8c39ca6643d6e,Python,28.0,27.0,1.0
chipx86,https://github.com/djblets/djblets,77ac64642ad530bf69e390c51fc6fdcb8914c8e7,Python,42.0,39.0,3.0
Eugeny,https://github.com/Eugeny/ajenti,d3fc5eb142ff16d55d158afb050af18d5ff09120,Python,3.0,2.0,1.0
jimi-c,https://github.com/ansible/ansible,5429b85b9f6c2e640074176f36ff05fd5e4d1916,Python,43.0,28.0,15.0
bdarnell,https://github.com/tornadoweb/tornado,1c36307463b1e8affae100bf9386948e6c1b2308,Python,154.0,101.0,53.0
basepi,https://github.com/saltstack/salt,e11298d7155e9982749483ca5538e46090caef9c,Python,19.0,14.0,5.0
basepi,https://github.com/saltstack/salt,22d2f7a1ec93300c34e8c42d14ec39d51e610b5c,Python,5.0,4.0,1.0
basepi,https://github.com/saltstack/salt,b49d0d4b5ca5c6f31f03e2caf97cef1088eeed81,Python,15.0,10.0,5.0
