username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
tenderlove,https://github.com/rails/rails,8a39f411dc3c806422785b1f4d5c7c9d58e4bf85,Ruby,23.0,20.0,3.0
tenderlove,https://github.com/rails/rails,586a944ddd4d03e66dea1093306147594748037a,Ruby,9.0,8.0,1.0
tenderlove,https://github.com/rails/rails,bfc432574d0b141fd7fe759edfe9b6771dd306bd,Ruby,9.0,8.0,1.0
coolo,https://github.com/openSUSE/open-build-service,cbfe2ed36dd77c0843702935dea7f914bb599201,Ruby,18.0,15.0,3.0
adrianschroeter,https://github.com/openSUSE/open-build-service,5281e4bff9df31f1f91e22a0d1e9086b93b23d7e,Ruby,57.0,40.0,17.0
coderanger,https://github.com/opscode/chef,a4ea6edab2fecb922f999cffb0daa04eeeec7a26,Ruby,32.0,31.0,1.0
btm,https://github.com/opscode/chef,33f0e9c58bbf047e1b401a834f3abfe72d9a8947,Ruby,14.0,7.0,7.0
autor nulo,https://github.com/mikel/mail,29aca25218e4c82991400eb9b0c933626aefc98f,Ruby,19.0,17.0,2.0
autor nulo,https://github.com/mikel/mail,39b590ddb08f90ddbe445837359a2c8843e533d0,Ruby,6.0,3.0,3.0
autor nulo,https://github.com/mikel/mail,ac56f03bdfc30b379aeecd4ff317d08fdaa328c2,Ruby,344.0,277.0,67.0
nicklewis,https://github.com/puppetlabs/puppet,ab9150baa1b738467a33b01df1d90e076253fbbd,Ruby,37.0,32.0,5.0
pcarlisle,https://github.com/puppetlabs/puppet,10f6cb8969b4d5a933b333ecb01ce3696b1d57d4,Ruby,113.0,79.0,34.0
pcarlisle,https://github.com/puppetlabs/puppet,d80478208d79a3e6d6cb1fbc525e24817fe8c4c6,Ruby,47.0,41.0,6.0
pcarlisle,https://github.com/puppetlabs/puppet,fd44bf5e6d0d360f6a493d663b653c121fa83c3f,Ruby,8.0,4.0,4.0
pcarlisle,https://github.com/puppetlabs/puppet,f3419620b42080dad3b0be14470b20a972f13c50,Ruby,98.0,87.0,11.0
calfonso,https://github.com/openshift/origin-server,1ad0d1d792395306b59a34ad7b6e7e89a35d041e,Ruby,5.0,5.0,0.0
abenari,https://github.com/theforeman/foreman,387b764b614170f23b3552aca498612e341652db,Ruby,17.0,10.0,7.0
autor nulo,https://github.com/rack/rack,f95113402b7239f225282806673e1b6424522b18,Ruby,66.0,63.0,3.0
raggi,https://github.com/rack/rack,6f237e4c9fab649d3750482514f0fde76c56ab30,Ruby,17.0,6.0,11.0
raggi,https://github.com/rack/rack,0cd7e9aa397f8ebb3b8481d67dbac8b4863a7f07,Ruby,2.0,1.0,1.0
raggi,https://github.com/rack/rack,9a81b961457805f6d1a5c275d053068440421e11,Ruby,17.0,17.0,0.0
jnunemaker,https://github.com/jnunemaker/crack,e3da1212a1f84a898ee3601336d1dbbf118fb5f6,Ruby,31.0,11.0,20.0
LBRapid,https://github.com/spree/spree_auth_devise,038d74771d3b5c13d13b738b73dfda1033a99f65,Ruby,48.0,47.0,1.0
adrianschroeter,https://github.com/openSUSE/open-build-service,06ad7fdbdd7eb2fef8947d14c4cdd00d8f6387b1,Ruby,82.0,79.0,3.0
tigrish,https://github.com/svenfuchs/i18n,92b57b1e4f84adcdcc3a375278f299274be62445,Ruby,38.0,32.0,6.0
steveyken,https://github.com/fatfreecrm/fat_free_crm,93c182dd4c6f3620b721d2a15ba6a6ecab5669df,Ruby,32.0,28.0,4.0
steveyken,https://github.com/fatfreecrm/fat_free_crm,a7fedbb36388bad0c0f32b2346481e0ea126dea6,Ruby,2.0,2.0,0.0
steveyken,https://github.com/fatfreecrm/fat_free_crm,cf26a04b356ad2161c4c6160260eb870a3de5328,Ruby,33.0,27.0,6.0
steveyken,https://github.com/fatfreecrm/fat_free_crm,078035f1ef73ed85285ac9d128c3c5f670cef066,Ruby,96.0,75.0,21.0
steveyken,https://github.com/fatfreecrm/fat_free_crm,d4b2de81a4d8c1b201482edcb2488ed9280a65fd,Ruby,16.0,10.0,6.0
autor nulo,https://github.com/ruby-ldap/ruby-net-ldap,b412ca05f6b430eaa1ce97ac95885b4cf187b04a,Ruby,2.0,1.0,1.0
Fryguy,https://github.com/ManageIQ/awesome_spawn,e524f85f1c6e292ef7d117d7818521307ac269ff,Ruby,267.0,150.0,117.0
mscherer,https://github.com/github/hub,016ec99d25b1cb83cb4367e541177aa431beb600,Ruby,6.0,1.0,5.0
hennevogel,https://github.com/openSUSE/open-build-service,2188c059b67b82171d0e28ef59f77e62d22a09d8,Ruby,10.0,10.0,0.0
jplang,https://github.com/redmine/redmine,7567c3d8b21fe67e5f04e6839c1fce061600f2f3,Ruby,12.0,9.0,3.0
steveyken,https://github.com/fatfreecrm/fat_free_crm,95464495f1e3e714d5c295fe621af5d2e0d4238d,Ruby,2.0,1.0,1.0
dometto,https://github.com/gollum/grit_adapter,4520d973c81fecfebbeacd2ef2f1849d763951c7,Ruby,3.0,3.0,0.0
dcramer,https://github.com/getsentry/raven-ruby,477ee93a3f735be33bc1e726820654cdf6e22d8f,Ruby,9.0,5.0,4.0
saneki,https://github.com/rsantamaria/papercrop,b4ecd95debaf0a8712bd1d34def83f41fc6b3579,Ruby,15.0,10.0,5.0
autor nulo,https://github.com/sysphonic/thetis,4ca3f5f486759660b87d7c146f1fdc11264f56eb,Ruby,94.0,61.0,33.0
autor nulo,https://github.com/sysphonic/thetis,842e44f0c2bd7d680430bb89a3bb78fd744961f9,Ruby,723.0,552.0,171.0
autor nulo,https://github.com/sysphonic/thetis,a61dc72035c7ae0b06f6d7dc8b2a848ffc7db277,Ruby,8.0,4.0,4.0
autor nulo,https://github.com/sysphonic/thetis,d9ed965075634ca1a095b480b459c68445ce951d,Ruby,7.0,6.0,1.0
durran,https://github.com/mongodb/bson-ruby,976da329ff03ecdfca3030eb6efe3c85e6db9999,Ruby,2.0,1.0,1.0
durran,https://github.com/mongodb/bson-ruby,fef6f75413511d653c76bf924a932374a183a24f,Ruby,590.0,581.0,9.0
Bramjetten,https://github.com/denkGroot/Spina,bfe44f289e336f80b6593032679300c493735e75,Ruby,2.0,2.0,0.0
miketanderson,https://github.com/Snorby/snorby,89d7cbcd3697c8a842f1a61b99e9a78f295798fb,Ruby,4.0,2.0,2.0
nacl-anno,https://github.com/NaCl-Ltd/pref-shimane-cms,ab96ec7661f15a0129940eed9215c91f1acbf564,Ruby,8.0,2.0,6.0
bartkamphorst,https://github.com/gollum/gollum,ce68a88293ce3b18c261312392ad33a88bb69ea1,Ruby,1.0,1.0,0.0
flori,https://github.com/quadule/colorscore,570b5e854cecddd44d2047c44126aed951b61718,Ruby,4.0,3.0,1.0
rafaelfranca,https://github.com/rails/rails-html-sanitizer,297161e29a3e11186ce4c02bf7defc088bf544d4,Ruby,65.0,55.0,10.0
rafaelfranca,https://github.com/rails/rails-html-sanitizer,49dfc1584c5b8e35a4ffabf8356ba3df025e8d3f,Ruby,60.0,50.0,10.0
tenderlove,https://github.com/rails/rails-html-sanitizer,63903b0eaa6d2a4e1c91bc86008256c4c8335e78,Ruby,17.0,16.0,1.0
jplang,https://github.com/redmine/redmine,c096dde88ff02872ba35edc4dc403c80a7867b5c,Ruby,2.0,1.0,1.0
jplang,https://github.com/redmine/redmine,032f2c9be6520d9d1a1608aa4f1d5d1f184f2472,Ruby,45.0,36.0,9.0
jplang,https://github.com/redmine/redmine,7e423fb4538247d59e01958c48b491f196a1de56,Ruby,44.0,42.0,2.0
ConradIrwin,https://github.com/mikel/mail,72befdc4dab3e6e288ce226a7da2aa474cf5be83,Ruby,47.0,24.0,23.0
ondrejmular,https://github.com/ClusterLabs/pcs,b9e7f061788c3b86a0c67d2d4158f067ec5eb625,Ruby,39.0,22.0,17.0
tomjelinek,https://github.com/ClusterLabs/pcs,bc6ad9086857559db57f4e3e6de66762291c0774,Ruby,1015.0,525.0,490.0
mshibuya,https://github.com/sferik/rails_admin,b13e879eb93b661204e9fb5e55f7afa4f397537a,Ruby,15.0,15.0,0.0
awakia,https://github.com/ikeay/vinemv,f41efbcac1f9262a161ebc1babfcf55fae9e939a,Ruby,8.0,8.0,0.0
iNecas,https://github.com/svenfuchs/safemode,0f764a1720a3a68fd2842e21377c8bfad6d7126f,Ruby,8.0,4.0,4.0
iNecas,https://github.com/theforeman/foreman,82f9b93c54f72c5814df6bab7fad057eab65b2f2,Ruby,2.0,1.0,1.0
lzap,https://github.com/theforeman/smart-proxy,eef532aa668d656b9d61d9c6edf7c2505f3f43c7,Ruby,16.0,14.0,2.0
SamSaffron,https://github.com/MiniProfiler/rack-mini-profiler,4273771d65f1a7411e3ef5843329308d0e2d257c,Ruby,529.0,435.0,94.0
ares,https://github.com/theforeman/foreman,0f35fe14acf0d0d3b55e9337bc5e2b9640ff2372,Ruby,2.0,1.0,1.0
segiddins,https://github.com/rubygems/rubygems,ad5c0a53a86ca5b218c7976765c0365b91d22cb2,Ruby,27.0,27.0,0.0
segiddins,https://github.com/rubygems/rubygems,8d91516fb7037ecfb27622f605dc40245e0f8d32,Ruby,17.0,16.0,1.0
tenderlove,https://github.com/rubygems/rubygems,510b1638ac9bba3ceb7a5d73135dafff9e5bab49,Ruby,60.0,55.0,5.0
jtdowney,https://github.com/jtdowney/private_address_check,58a0d7fe31de339c0117160567a5b33ad82b46af,Ruby,6.0,6.0,0.0
bhelx,https://github.com/recurly/recurly-client-ruby,1bb0284d6e668b8b3d31167790ed6db1f6ccc4be,Ruby,12.0,10.0,2.0
autor nulo,https://github.com/redis-store/redis-store,e0c1398d54a9661c8c70267c3a925ba6b192142e,Ruby,107.0,80.0,27.0
cyu,https://github.com/cyu/rack-cors,42ebe6caa8e85ffa9c8a171bda668ba1acc7a5e6,Ruby,2.0,1.0,1.0
dhensby,https://github.com/silverstripe/silverstripe-installer,c25478bef75cc5482852e80a1fa6f1f0e6460e39,Ruby,2.0,1.0,1.0
jplang,https://github.com/redmine/redmine,94f7cfbf990028348b9262578acbc53a94fce448,Ruby,3.0,2.0,1.0
jplang,https://github.com/redmine/redmine,56c8ee0440d8555aa7822d947ba9091c8a791508,Ruby,3.0,2.0,1.0
jplang,https://github.com/redmine/redmine,1a0976417975a128b0a932ba1552c37e9414953b,Ruby,4.0,3.0,1.0
jplang,https://github.com/redmine/redmine,273dd9cb3bcfb1e0a0b90570b3b34eafa07d67aa,Ruby,4.0,3.0,1.0
sonots,https://github.com/geminabox/geminabox,f8429a9e364658459add170e4ebc7a5d3b4759e7,Ruby,13.0,11.0,2.0
jplang,https://github.com/redmine/redmine,0f09f161f64f4190a52166675ff380a15b72a8bc,Ruby,24.0,23.0,1.0
lsegal,https://github.com/lsegal/yard,b0217b3e30dc53d057b1682506333335975e62b4,Ruby,8.0,5.0,3.0
marutosi,https://github.com/redmine/redmine,58ed8655136ff2fe5ff7796859bf6a399c76c678,Ruby,10.0,5.0,5.0
marutosi,https://github.com/redmine/redmine,9d797400eaec5f9fa7ba9507c82d9c18cb91d02e,Ruby,39.0,20.0,19.0
marutosi,https://github.com/redmine/redmine,ca87bf766cdc70179cb2dce03015d78ec9c13ebd,Ruby,34.0,34.0,0.0
MikaelSmith,https://github.com/puppetlabs/mcollective-sshkey-security,3388a3109f4fb1c69fa8505e991bf59ca20d19a2,Ruby,39.0,29.0,10.0
