username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
autor nulo,https://github.com/KDE/kde1-kdebase,04906bd5de2f220bf100b605dad37b4a1d9a91a6,C++,1.0,1.0,0.0
lalinsky,https://github.com/taglib/taglib,77d61c6eca4d08b9b025738acf6b926cc750db23,C++,2.0,1.0,1.0
franklai,https://github.com/taglib/taglib,b3646a07348ffa276ea41a9dae03ddc63ea6c532,C++,16.0,13.0,3.0
lalinsky,https://github.com/taglib/taglib,dcdf4fd954e3213c355746fa15b7480461972308,C++,2.0,1.0,1.0
sipa,https://github.com/sipa/bitcoin,a206b0ea12eb4606b93323268fc81a4f1f952531,C++,26.0,24.0,2.0
keithw,https://github.com/keithw/mosh,9791768705528e911bfca6c4d8aa88139035060e,C++,8.0,8.0,0.0
Adam-,https://github.com/inspircd/inspircd,ed28c1ba666b39581adb860bf51cdde43c84cc89,C++,2.0,1.0,1.0
alextutubalin,https://github.com/LibRaw/LibRaw,19ffddb0fe1a4ffdb459b797ffcf7f490d28b5a6,C++,10.0,8.0,2.0
alextutubalin,https://github.com/LibRaw/LibRaw,2f912f5b33582961b1cdbd9fd828589f8b78f21d,C++,20.0,12.0,8.0
DarthGandalf,https://github.com/znc/znc,2bd410ee5570cea127233f1133ea22f25174eb28,C++,8.0,4.0,4.0
maekitalo,https://github.com/maekitalo/tntnet,9bd3b14042e12d84f39ea9f55731705ba516f525,C++,4.0,4.0,0.0
autor nulo,https://github.com/facebook/hhvm,851fff90a9b7461df2393af32239ba217bc25946,C++,9.0,9.0,0.0
jeromerobert,https://bitbucket.org/jeromerobert/k4dirstat,1ad2e96d73fa06cd9be0f3749b337c03575016aa,C++,9.0,4.0,5.0
jktjkt,https://github.com/jktjkt/trojita,25fffa3e25cbad85bbca804193ad336b090a9ce1,C++,25.0,25.0,0.0
s4y,https://github.com/okws/okws,e9bedb644d106a043e33e1058bedd1c2c0b2e2e0,C++,7.0,4.0,3.0
anadav,https://github.com/torvalds/linux,234f3ce485d54017f15cf5e0699cff4100121601,C++,78.0,54.0,24.0
anadav,https://github.com/torvalds/linux,d1442d85cc30ea75f7d399474ca738e0bc96f715,C++,118.0,88.0,30.0
agralius,https://github.com/mongodb/mongo,c151e0660b9736fe66b224f1129a16871165251b,C++,12.0,8.0,4.0
sgolemon,https://github.com/facebook/hhvm,ab6fdeb84fb090b48606b6f7933028cfe7bf3a5e,C++,4.0,3.0,1.0
oyamauchi,https://github.com/facebook/hhvm,7135ec229882370a00411aa50030eada6034cc1b,C++,7.0,6.0,1.0
