username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
zoulasc,https://github.com/file/file,758e066df72fb1ac08d2eea91ddc3973d259e991,Go,9.0,6.0,3.0
autor nulo,https://github.com/lxc/lxd,19c6961cc1012c8a529f20807328a9357f5034f4,Go,98.0,88.0,10.0
bradfitz,https://github.com/golang/go,117ddcb83d7f42d6aa72241240af99ded81118e9,Go,49.0,42.0,7.0
bradfitz,https://github.com/golang/go,300d9a21583e7cf0149a778a0611e76ff7c6680f,Go,115.0,99.0,16.0
cyphar,https://github.com/opencontainers/runc,69af385de62ea68e2e608335cffbb0f4aa3db091,Go,89.0,57.0,32.0
csstaub,https://github.com/square/go-jose,789a4c4bd4c118f7564954f441b29c153ccd6a96,Go,31.0,18.0,13.0
mheon,https://github.com/seccomp/libseccomp-golang,06e7a29f36a34b8cf419aeb87b979ee508e58f9e,Go,64.0,37.0,27.0
hanwen,https://github.com/golang/crypto,e4e2799dd7aab89f583e1d898300d96367750991,Go,223.0,193.0,30.0
agl,https://github.com/golang/go,9294fa2749ffee7edbbb817a0ef9fe633136fa9c,Go,46.0,41.0,5.0
autor nulo,https://github.com/minio/minio,9c8b7306f55f2c8c0a5c7cea9a8db9d34be8faa7,Go,84.0,37.0,47.0
aviadatsnyk,https://github.com/mholt/archiver,e4ef56d48eb029648b0e895bb0b6a393ef0829c3,Go,50.0,42.0,8.0
rhatdan,https://github.com/projectatomic/libpod,bae80a0b663925ec751ad2784ca32989403cdc24,Go,28.0,28.0,0.0
zsfelfoldi,https://github.com/ethereum/go-ethereum,a5237a27eaf81946a3edb4fafe13ed6359d119e4,Go,25.0,18.0,7.0
shantuo,https://github.com/golang/gddo,daffe1f90ec57f8ed69464f9094753fc6452e983,Go,11.0,9.0,2.0
s-gv,https://github.com/s-gv/orangeforum,1f6313cb3a1e755880fc1354f3e1efc4dd2dd4aa,Go,4.0,2.0,2.0
wgliang,https://github.com/evanphx/json-patch,4c9aadca8f89e349c999f04e28199e96e81aba03,Go,8.0,7.0,1.0
