username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
jzaefferer,https://github.com/jquery/jquery-ui,7e9060c109b928769a664dbcc2c17bd21231b6f3,JavaScript,13.0,9.0,4.0
nijel,https://github.com/phpmyadmin/phpmyadmin,86073d532aed656550cb731aa5b4288b126ae7a6,JavaScript,10.0,5.0,5.0
LukasReschke,https://github.com/owncloud/core,d203fa2c50f4b2791e68e2b8ab9a0f8b94f9c9f8,JavaScript,2.0,1.0,1.0
icewind1991,https://github.com/owncloud/core,8f616ecf76aac4a8b554fbf5a90b1645d0f25438,JavaScript,12.0,9.0,3.0
nijel,https://github.com/phpmyadmin/phpmyadmin,a547f3d3e2cf36c6a904fa3e053fd8bddd3fbbb0,JavaScript,4.0,2.0,2.0
chipx86,https://github.com/reviewboard/reviewboard,4aaacbb1e628a80803ba1a55703db38fccdf7dbf,JavaScript,6.0,4.0,2.0
natsumetakashi,https://github.com/kanaka/noVNC,ad941faddead705cd611921730054767a0b32dcd,JavaScript,13.0,9.0,4.0
JamesMGreene,https://github.com/zeroclipboard/zeroclipboard,2f9eb9750a433965572d047e24b0fc78fd1415ca,JavaScript,16.0,13.0,3.0
chieffancypants,https://github.com/tojocky/node-printer,e001e38738c17219a1d9dd8c31f7d82b9c0013c7,JavaScript,2.0,1.0,1.0
nvcexploder,https://github.com/hapijs/bassmaster,b751602d8cb7194ee62a61e085069679525138c4,JavaScript,10.0,2.0,8.0
skoranga,https://github.com/skoranga/node-dns-sync,d9abaae384b198db1095735ad9c1c73d7b890a0d,JavaScript,32.0,25.0,7.0
cgx,https://github.com/inverse-inc/sogo,3a5e44e7eb8b390b67a8f8a83030b49606956501,JavaScript,8.0,4.0,4.0
cgx,https://github.com/inverse-inc/sogo,c94595ea7f0f843c2d7abf25df039b2bbe707625,JavaScript,12.0,6.0,6.0
webzwo0i,https://github.com/ether/etherpad-lite,a0fb65205c7d7ff95f00eb9fd88e93b300f30c3d,JavaScript,12.0,11.0,1.0
julianlam,https://github.com/julianlam/nodebb-plugin-markdown,ab7f2684750882f7baefbfa31db8d5aac71e6ec3,JavaScript,17.0,14.0,3.0
0x46616c6b,https://github.com/ether/etherpad-lite,0fa7650df8f940ed6b577d79836a78eb09726c4b,JavaScript,1.0,0.0,1.0
devoidfury,https://github.com/ether/etherpad-lite,5409eb314c4e072b9760b8d30b985fa0bb96a006,JavaScript,8.0,6.0,2.0
