username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
agrieve,https://github.com/apache/cordova-plugin-file-transfer,a1d6fc07e8a40c1b2b16f4103c403b30e1089668,Objective-C,4.0,2.0,2.0
clelland,https://github.com/apache/cordova-plugin-inappbrowser,26702cb0720c5c394b407c23570136c53171fa55,Objective-C,21.0,20.0,1.0
autor nulo,https://github.com/ImageMagick/ImageMagick,4f68e9661518463fca523c9726bb5d940a2aa6d8,Objective-C,2.0,2.0,0.0
dlemstra,https://github.com/ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231,Objective-C,15.0,9.0,6.0
autor nulo,https://github.com/ImageMagick/ImageMagick,5b4bebaa91849c592a8448bc353ab25a54ff8c44,Objective-C,10.0,9.0,1.0
dlemstra,https://github.com/ImageMagick/ImageMagick,97aa7d7cfd2027f6ba7ce42caf8b798541b9cdc6,Objective-C,36.0,20.0,16.0
autor nulo,https://github.com/ImageMagick/ImageMagick,78f82d9d1c2944725a279acd573a22168dc6e22a,Objective-C,6.0,3.0,3.0
autor nulo,https://github.com/ImageMagick/ImageMagick,bd96074b254c6607a0f7731e59f923ad19d5a46d,Objective-C,17.0,2.0,15.0
autor nulo,https://github.com/ImageMagick/ImageMagick,1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f,Objective-C,43.0,17.0,26.0
autor nulo,https://github.com/ImageMagick/ImageMagick,6b4aff0f117b978502ee5bcd6e753c17aec5a961,Objective-C,12.0,9.0,3.0
autor nulo,https://github.com/ImageMagick/ImageMagick,8ea44b48a182dd46d018f4b4f09a5e2ee9638105,Objective-C,15.0,1.0,14.0
autor nulo,https://github.com/ImageMagick/ImageMagick,b8f17d08b7418204bf8a05a5c24e87b2fc395b75,Objective-C,6.0,3.0,3.0
autor nulo,https://github.com/ImageMagick/ImageMagick,13db820f5e24cd993ee554e99377fea02a904e18,Objective-C,5.0,3.0,2.0
dlemstra,https://github.com/ImageMagick/ImageMagick,47e8e6ceef979327614d0b8f0c76c6ecb18e09cf,Objective-C,2.0,2.0,0.0
autor nulo,https://github.com/ImageMagick/ImageMagick,933e96f01a8c889c7bf5ffd30020e86a02a046e7,Objective-C,33.0,19.0,14.0
autor nulo,https://github.com/ImageMagick/ImageMagick,d8ab7f046587f2e9f734b687ba7e6e10147c294b,Objective-C,123.0,74.0,49.0
extrafu,https://github.com/inverse-inc/sogo,875a4aca3218340fd4d3141950c82c2ff45b343d,Objective-C,78.0,56.0,22.0
autor nulo,https://github.com/ImageMagick/ImageMagick,dd84447b63a71fa8c3f47071b09454efc667767b,Objective-C,5.0,5.0,0.0
autor nulo,https://github.com/ImageMagick/ImageMagick,8f8959033e4e59418d6506b345829af1f7a71127,Objective-C,11.0,6.0,5.0
dlemstra,https://github.com/ImageMagick/ImageMagick,198fffab4daf8aea88badd9c629350e5b26ec32f,Objective-C,2.0,2.0,0.0
dlemstra,https://github.com/ImageMagick/ImageMagick,280215b9936d145dd5ee91403738ccce1333cab1,Objective-C,167.0,87.0,80.0
dlemstra,https://github.com/ImageMagick/ImageMagick,6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d,Objective-C,4.0,2.0,2.0
dlemstra,https://github.com/ImageMagick/ImageMagick,e14fd0a2801f73bdc123baf4fbab97dec55919eb,Objective-C,3.0,2.0,1.0
dlemstra,https://github.com/ImageMagick/ImageMagick,2ad6d33493750a28a5a655d319a8e0b16c392de1,Objective-C,8.0,6.0,2.0
autor nulo,https://github.com/ImageMagick/ImageMagick,14e606db148d6ebcaae20f1e1d6d71903ca4a556,Objective-C,6.0,4.0,2.0
