username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
autor nulo,https://github.com/Illydth/wowraidmanager,7dd6367ae85003dd5d715431b6ab695f2c2f200a,PHP,10.0,5.0,5.0
kaecyra,https://github.com/vanilla/vanilla,4535a059e4e24ca11a2ef0b4d754f262398bcece,PHP,4.0,2.0,2.0
markstory,https://github.com/cakephp/cakephp,e431e86aa4301ced4273dc7919b59362cbb353cb,PHP,31.0,30.0,1.0
autor nulo,https://github.com/punbb/punbb,dd50a50a2760f10bd2d09814e30af4b36052ca6d,PHP,4.0,2.0,2.0
brendo,https://github.com/symphonycms/symphony-2,476e4926e2773588eab10dd3036f27e1411521b5,PHP,18.0,9.0,9.0
nsams,https://github.com/koala-framework/koala-framework,59f81ea6bd8ef96c04a706a3ca453cd656284faa,PHP,2.0,1.0,1.0
dregad,https://github.com/mantisbt/mantisbt,eb803ed02105fc919cf5f789e939f2b824162927,PHP,8.0,5.0,3.0
dregad,https://github.com/mantisbt/mantisbt,cf5df427f17cf9204645f83e000665780eb9afe6,PHP,17.0,12.0,5.0
dregad,https://github.com/mantisbt/mantisbt,dea7e315f3fc96dfa995e56e8810845fc07a47aa,PHP,5.0,5.0,0.0
dregad,https://github.com/mantisbt/mantisbt,9443258724e84cb388aa1865b775beaecd80596d,PHP,18.0,13.0,5.0
dregad,https://github.com/mantisbt/mantisbt,0da3f7ace233208eb3c8d628cc2fd6e56d83839f,PHP,4.0,2.0,2.0
autor nulo,https://github.com/mantisbt/mantisbt,f5106be52cf6aa72c521f388e4abb5f0de1f1d7f,PHP,5.0,5.0,0.0
matthiasmullie,https://github.com/forkcms/forkcms,1269fe8b3813c7b7d5552a2b88bc2e7bd4d0c1f9,PHP,2.0,1.0,1.0
matthiasmullie,https://github.com/forkcms/forkcms,995220182068518e89019a265d113518f6566407,PHP,2.0,1.0,1.0
freshface,https://github.com/forkcms/forkcms,a9986b86c53de0582248b39605660fbba0c21a29,PHP,11.0,11.0,0.0
autor nulo,https://github.com/forkcms/forkcms,8fa74dd3e2e32723cd121177dce6aeac37e29df6,PHP,2.0,1.0,1.0
autor nulo,https://github.com/forkcms/forkcms,d65c083adc91c88d21bd9a0df4c2688df634c6ff,PHP,2.0,1.0,1.0
freshface,https://github.com/forkcms/forkcms,df75e0797a6540c4d656969a2e7df7689603b2cf,PHP,7.0,4.0,3.0
autor nulo,https://github.com/forkcms/forkcms,c8ec9c58a6b3c46cdd924532c1de99bcda6072ed,PHP,5.0,4.0,1.0
hregis,https://github.com/Dolibarr/dolibarr,5381986e50dd6055f2b3b63281eaacffa0449da2,PHP,122.0,63.0,59.0
hregis,https://github.com/Dolibarr/dolibarr,8f9b9987ffb42cfbe907fe31ded3001bfc1b3417,PHP,136.0,70.0,66.0
andrerom,https://github.com/ezsystems/ezjscore,58854564c7b8672090c25c4b1677d08620d870f2,PHP,2.0,1.0,1.0
ioguix,https://github.com/phppgadmin/phppgadmin,74174ad639664b52cc1609ede0af8bc403e98a00,PHP,2.0,0.0,2.0
juanramon,https://github.com/osclass/OSClass,1e7626f4e1a26371480989c0b937f107ea9a6d4b,PHP,10.0,10.0,0.0
juanramon,https://github.com/osclass/OSClass,a40b76695994442644e46e1b776d79660500566a,PHP,296.0,142.0,154.0
splitbrain,https://github.com/splitbrain/dokuwiki,ff71173477e54774b5571015d49d944f51cb8a26,PHP,2.0,1.0,1.0
LukasReschke,https://github.com/owncloud/core,93579d88dcea389205c01ddf6da41f37ad9b8745,PHP,16.0,14.0,2.0
autor nulo,https://github.com/owncloud/core,0074062b5329c3d43679909fddce2d70608a4475,PHP,2.0,1.0,1.0
autor nulo,https://github.com/owncloud/core,44260a552cd4ee50ee11eee45164c725f56f7027,PHP,6.0,3.0,3.0
autor nulo,https://github.com/owncloud/core,642e7ce110cb8c320072532c29abe003385d50f5,PHP,3.0,3.0,0.0
LukasReschke,https://github.com/owncloud/core,8f09299e2468dfc4f9ec72b05acf47de3ef9d1d7,PHP,6.0,3.0,3.0
LukasReschke,https://github.com/owncloud/core,cc653a8a408adfb4d0cd532145668aacd85ad96c,PHP,2.0,1.0,1.0
LukasReschke,https://github.com/owncloud/core,d294373f476c795aaee7dc2444e7edfdea01a606,PHP,2.0,1.0,1.0
autor nulo,https://github.com/owncloud/core,e817504569dce49fd7a677fa510e500394af0c48,PHP,6.0,3.0,3.0
autor nulo,https://github.com/owncloud/core,f955f6a6857754826af8903475688ba54f72c1bb,PHP,2.0,1.0,1.0
autor nulo,https://github.com/owncloud/core,00595351400523168e18a08e3ffa5c3b1e7c1f6e,PHP,4.0,2.0,2.0
tanghus,https://github.com/owncloud/core,54a371700554ed21a5cb7db03126b6c95ae4cbd3,PHP,3.0,3.0,0.0
LukasReschke,https://github.com/owncloud/core,9605e1926c6081e88326bf78a02c1d1b83126c4f,PHP,1.0,1.0,0.0
autor nulo,https://github.com/forkcms/forkcms,641e27bf1e9a7e320d6856399a7c274934bb351e,PHP,12.0,8.0,4.0
ruleant,https://github.com/phpmyadmin/phpmyadmin,cfd688d2512df9827a8ecc0412fc264fc5bcb186,PHP,107.0,80.0,27.0
rjmackay,https://github.com/ushahidi/Ushahidi_Web,e8c7ecd42818c331db8945d20f8b1865bc6d157e,PHP,57.0,48.0,9.0
jwhonce,https://github.com/openshift/origin-server,32564a0839b1517d762afab2013c26c0959bac00,PHP,18.0,12.0,6.0
autor nulo,https://github.com/centreon/centreon,434e291eebcd8f56771ac96b37831634fa52b6a8,PHP,38.0,19.0,19.0
vvuksan,https://github.com/ganglia/ganglia-web,31d348947419058c43b8dfcd062e2988abd5058e,PHP,116.0,64.0,52.0
oyejorge,https://github.com/oyejorge/gpEasy-CMS,40f1b4a5749a621cd27c5ca39900dbcf8701969d,PHP,3.0,1.0,2.0
realtimeprojects,https://github.com/realtimeprojects/quixplorer,7ac119cebd3b6bfe16a30fd1d5290127310a4436,PHP,207.0,108.0,99.0
ruleant,https://github.com/phpmyadmin/phpmyadmin,79089c9bc02c82c15419fd9d6496b8781ae08a5a,PHP,4.0,2.0,2.0
FHenry,https://github.com/Dolibarr/dolibarr,9427e32e2ed54c1a2bc519a88c057207836df489,PHP,5.0,3.0,2.0
eldy,https://github.com/Dolibarr/dolibarr,8a90598b23e1b2689848187941f7a96b04907005,PHP,6.0,3.0,3.0
eldy,https://github.com/Dolibarr/dolibarr,526a80dd202bbca396687a502d52c27e06e97fff,PHP,27.0,17.0,10.0
brendo,https://github.com/symphonycms/symphony-2,6c8aa4e9c810994f7632837487426867ce50f468,PHP,4.0,3.0,1.0
