username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
dpp,https://github.com/lift/framework,099d9c86cf6d81f4953957add478ab699946e601,Scala,24.0,23.0,1.0
topolik,https://github.com/liferay/liferay-portal,333f65bae9106182d12e02d249d4f95e16e93fa2,Scala,5.0,3.0,2.0
anfedorov,https://github.com/jasongoodwin/authentikat-jwt,2d2fa0d40ac8f2f7aa7e9b070fa1a25eee082cb0,Scala,2.0,1.0,1.0
To-om,https://github.com/TheHive-Project/Cortex,1aaf2182a6b722ad539e2717bc11967d1bde723a,Scala,2.0,1.0,1.0
pavel-savinov,https://github.com/liferay/liferay-portal,7e063aed70f947a92bb43a4471e0c4e650fe8f7f,Scala,2.0,1.0,1.0
ldaley,https://github.com/ratpack/ratpack,c560a8d10cb8bdd7a526c1ca2e67c8f224ca23ae,Scala,42.0,42.0,0.0
orsalido,https://github.com/RadarCOVID/radar-covid-android,09d00e5ede801ca400d45c7feda5a99c34e4176c,Scala,2.0,1.0,1.0
orsalido,https://github.com/RadarCOVID/radar-covid-android,7fdc7debeb8a37faa77b53d9f9a1b4bbcff445ce,Scala,5.0,2.0,3.0
orsalido,https://github.com/RadarCOVID/radar-covid-android,8e5d14ec60e0c1847a4733556cf34d232c27102c,Scala,8.0,3.0,5.0
orsalido,https://github.com/RadarCOVID/radar-covid-android,9627f4d69705bca68e550eefd3df1b9abe90b215,Scala,2.0,1.0,1.0
orsalido,https://github.com/RadarCOVID/radar-covid-android,ea0c4cc837f72f58e2b5df1ecf0899743ec3cdf8,Scala,2.0,1.0,1.0
TiagoJacobs,https://github.com/bigbluebutton/bigbluebutton,5c911ddeec4493f40f42e2f137800ed4692004a4,Scala,2.0,2.0,0.0
TiagoJacobs,https://github.com/bigbluebutton/bigbluebutton,e59bcd0c33a6a3203c011faa8823ba2cac1e4f37,Scala,123.0,119.0,4.0
atomfrede,https://github.com/jhipster/jhipster-kotlin,426ccab85e7e0da562643200637b99b6a2a99449,Scala,4.0,2.0,2.0
ashaffer,https://github.com/ashaffer/cached-path-relative,40c73bf70c58add5aec7d11e4f36b93d144bb760,Scala,4.0,2.0,2.0
kajmagnus,https://github.com/debiki/talkyard,4067e191a909ed06f250d09a40e43aa5edbb0289,Scala,7.0,4.0,3.0
rossabaker,https://github.com/http4s/http4s,52e1890665410b4385e37b96bc49c5e3c708e4e9,Scala,18.0,16.0,2.0
charleskorn,https://github.com/charleskorn/kaml,e18785d043fc6324c81e968aae9764b4b060bc6a,Scala,22.0,21.0,1.0
yhatt,https://github.com/yhatt/jsx-slack,46bc88391d89d5fda4ce689e18ca080bcdd29ecc,Scala,13.0,7.0,6.0
BraisGabin,https://github.com/detekt/detekt,c965a8d2a6bbdb9bcfc6acfa7bbffd3da81f5395,Scala,7.0,6.0,1.0
armanbilge,https://github.com/typelevel/fs2,659824395826a314e0a4331535dbf1ef8bef8207,Scala,56.0,53.0,3.0
