username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,7647a7b53ceab31524cfcfb3beb8435af0a30fc1,PHP,3.0,2.0,1.0
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,942c406fcee5d376235a264cb8a79300a0002d20,PHP,7.0,4.0,3.0
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,bcf7b971b5c88ea08d2dc47685f319be3b02cea8,PHP,5.0,3.0,2.0
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,d27690c6cb7708a6db0701b6428381d32d51495a,PHP,9.0,9.0,0.0
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,e2d88c9d7f8e02640ba65e5ff74b55d0399a53d0,PHP,48.0,22.0,26.0
awesomekling,https://github.com/SerenityOS/serenity,0fc24fe2564736689859e7edfa177a86dac36bf9,C++,8.0,4.0,4.0
jedisct1,https://github.com/jedisct1/pure-ftpd,aea56f4bcb9948d456f3fae4d044fd3fa2e19706,C,15.0,8.0,7.0
autor nulo,https://github.com/nginx/nginx,c1be55f97211d38b69ac0c2027e6812ab8b1b94e,HTML,6.0,6.0,0.0
error ao obter,https://bitbucket.org/ritt/elog,eefdabb714f26192f585083ef96c8413e459a1d1,C,,,
error ao obter,https://bitbucket.org/ritt/elog,993bed4923c88593cc6b1186e0d1b9564994a25a,C,,,
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,cde692895e425731e6951d265a01ca6425a7c26e,PHP,2.0,1.0,1.0
hexiaowen,https://github.com/systemd/systemd,b2774a3ae692113e1f47a336a6c09bac9cfb49ad,C,3.0,2.0,1.0
haoren3696,https://github.com/openSUSE/libsolv,fdb9c9c03508990e4583046b590c30d958f272da,C,6.0,4.0,2.0
autor nulo,https://github.com/torvalds/linux,7b09c2d052db4b4ad0b27b97918b46a7746966fa,C,2.0,1.0,1.0
tuexen,https://github.com/sctplab/usrsctp,790a7a2555aefb392a5a69923f1e9d17b4968467,C,12.0,8.0,4.0
jeanlf,https://github.com/gpac/gpac,1ab4860609f2e7a35634930571e7d0531297e090,C,35.0,21.0,14.0
jeanlf,https://github.com/gpac/gpac,98b727637e32d1d4824101d8947e2dbd573d4fc8,C,4.0,3.0,1.0
jeanlf,https://github.com/gpac/gpac,2320eb73afba753b39b7147be91f7be7afc0eeb7,C,14.0,7.0,7.0
dtor,https://github.com/torvalds/linux,cb222aed03d798fc074be55e59d9a112338ee784,C,26.0,16.0,10.0
Sean-Der,https://github.com/pion/dtls,fd73a5df2ff0e1fb6ae6a51e2777d7a16cc4f4e0,Go,4.0,4.0,0.0
bk138,https://github.com/LibVNC/libvncserver,54220248886b5001fbbb9fa73c4e1a2cb9413fed,C++,5.0,5.0,0.0
jwhui,https://github.com/openthread/openthread,b8c3161281f8e15873f8decabd8eac461717aefe,C++,3.0,2.0,1.0
jwhui,https://github.com/openthread/openthread,c3a3a0c424322009fec3ab735fb20ce8f6e19e70,C++,36.0,21.0,15.0
Jakuje,https://github.com/OpenSC/OpenSC,c246f6f69a749d4f68626b40795a4f69168008f4,C,5.0,5.0,0.0
jreiser,https://github.com/upx/upx,8be9da8280dfa69d5df4417d4d81bda1cab78010,C++,50.0,43.0,7.0
autor nulo,https://github.com/torvalds/linux,2e7682ebfc750177a4944eeb56e97a3f05734528,C,4.0,2.0,2.0
bk138,https://github.com/LibVNC/libvncserver,3fd03977c9b35800d73a865f167338cb4d05b0c1,C,4.0,4.0,0.0
DerDakon,https://github.com/LibVNC/libvncserver,0cf1400c61850065de590d403f6d49e32882fd76,C,7.0,4.0,3.0
bvanassche,https://github.com/net-snmp/net-snmp,5f881d3bf24599b90d67a45cae7a3eb099cd71c9,C,95.0,53.0,42.0
rurban,https://github.com/LibreDWG/libredwg,d7913b893bfa98fab27f05825dc4cab2d3a20c83,C,3.0,2.0,1.0
rurban,https://github.com/LibreDWG/libredwg,c6f6668b82bfe595899cc820279ac37bb9ef16f5,C,129.0,15.0,114.0
