username,repositorio,hash,linguagem_programacao,Classificacao
autor nulo,https://github.com/KDE/kde1-kdebase,04906bd5de2f220bf100b605dad37b4a1d9a91a6,C++,NÃO FAMILIAR
tlyu,https://github.com/krb5/krb5,cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,C,FAMILIAR
antonblanchard,https://github.com/torvalds/linux,6c4841c2b6c32a134f9f36e5e08857138cc12b10,C,FAMILIAR
autor nulo,https://github.com/torvalds/linux,0b29669c065f60501e7289e1950fa2a618962358,C,NÃO FAMILIAR
pcmoore,https://github.com/torvalds/linux,2a2f11c227bdf292b3a2900ad04139d301b56ac4,C,FAMILIAR
Synchro,https://github.com/PHPMailer/PHPMailer,8beacc646acb67c995aea10ac5585970efc7355a,Markdown,NÃO FAMILIAR
autor nulo,https://github.com/Illydth/wowraidmanager,7dd6367ae85003dd5d715431b6ab695f2c2f200a,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,124d3b7041f9a0ca7c43a6293e1cae4576c32fd5,C,NÃO FAMILIAR
behdad,https://github.com/bratsche/pango,4de30e5500eaeb49f4bf0b7a07f718e149a2ed5e,C,FAMILIAR
autor nulo,https://github.com/memcached/memcached,75cc83685e103bc8ba380a57468c8f04413033f9,C,NÃO FAMILIAR
kroki,https://github.com/memcached/memcached,d9cd01ede97f4145af9781d448c62a3318952719,C,FAMILIAR
autor nulo,https://github.com/ensc/irssi-proxy,85bbc05b21678e80423815d2ef1dfe26208491ab,C,NÃO FAMILIAR
AndyA,https://github.com/AndyA/CGI--Simple,e4942b871a26c1317a175a91ebb7262eea59b380,Perl,NÃO FAMILIAR
pawelz,https://github.com/Dieterbe/uzbl,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,Batchfile,NÃO FAMILIAR
ebruchez,https://github.com/orbeon/orbeon-forms,aba6681660f65af7f1676434da68c10298c30200,Java,NÃO FAMILIAR
eaescob,https://github.com/Ettercap/ettercap,4ef3ede30181eca9add74305ad26dbcb0c3686a0,C,FAMILIAR
eparis,https://github.com/torvalds/linux,a2ae4cc9a16e211c8a128ba10d22a85431f093ab,C,NÃO FAMILIAR
kumpera,https://github.com/mono/mono,cf1ec146f7c6acdc6697032b3aaafc68ffacdcac,C,FAMILIAR
kaecyra,https://github.com/vanilla/vanilla,4535a059e4e24ca11a2ef0b4d754f262398bcece,PHP,FAMILIAR
markstory,https://github.com/cakephp/cakephp,e431e86aa4301ced4273dc7919b59362cbb353cb,PHP,FAMILIAR
kilroyd,https://github.com/torvalds/linux,0a54917c3fc295cb61f3fb52373c173fd3b69f48,C,FAMILIAR
autor nulo,https://github.com/torvalds/linux,7572777eef78ebdee1ecb7c258c0ef94d35bad16,C,NÃO FAMILIAR
kraih,https://github.com/kraih/mojo,aa7c8da54b1ebd4ccb64aa66dede7b7cdb381c44,Perl,FAMILIAR
jzaefferer,https://github.com/jquery/jquery-ui,7e9060c109b928769a664dbcc2c17bd21231b6f3,JavaScript,FAMILIAR
autor nulo,https://github.com/torvalds/linux,fc3a9157d3148ab91039c75423da8ef97be3e105,C,NÃO FAMILIAR
oleg-nesterov,https://github.com/torvalds/linux,f106eee10038c2ee5b6056aaf3f6d5229be6dcdd,C,FAMILIAR
oleg-nesterov,https://github.com/torvalds/linux,f20011457f41c11edb5ea5038ad0c8ea9f392023,C,FAMILIAR
oleg-nesterov,https://github.com/torvalds/linux,fa2755e20ab0c7215d99c2dc7c262e98a09b01df,C,FAMILIAR
pinchartl,https://github.com/torvalds/linux,fc0a80798576f80ca10b3f6c9c7097f12fd1d64e,C,FAMILIAR
error27,https://github.com/torvalds/linux,0031c41be5c529f8329e327b63cde92ba1284842,C,FAMILIAR
autor nulo,https://github.com/torvalds/linux,0926f91083f34d047abc74f1ca4fa6a9c161f7db,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,867c20265459d30a01b021a9c1e81fb4c5832aa9,C,NÃO FAMILIAR
adrianschroeter,https://github.com/openSUSE/open-build-service,23c8d21c75242999e29379e6ca8418a14c8725c6,Perl,NÃO FAMILIAR
adrianschroeter,https://github.com/openSUSE/open-build-service,76b0ab003f34435ca90d943e02dd22279cdeec2a,Shell,NÃO FAMILIAR
yoe,https://github.com/yoe/nbd,3ef52043861ab16352d49af89e048ba6339d6df8,C,FAMILIAR
herbertx,https://github.com/torvalds/linux,6b0d6a9b4296fa16a28d10d416db7a770fc03287,C,FAMILIAR
kumpera,https://github.com/mono/mono,8eb1189099e02372fd45ca1c67230eccf1edddc0,C,FAMILIAR
autor nulo,https://github.com/mono/mono,722f9890f09aadfc37ae479e7d946d5fc5ef7b91,C,NÃO FAMILIAR
sunnavy,https://github.com/bestpractical/rt,2338cd19ed7a7f4c1e94f639ab2789d6586d01f3,Perl,FAMILIAR
segoon,https://github.com/torvalds/linux,8909c9ad8ff03611c9c96c9a92656213e4bb495b,C,FAMILIAR
nhorman,https://github.com/torvalds/linux,6094628bfd94323fc1cea05ec2c6affd98c18f7f,C,FAMILIAR
segoon,https://github.com/torvalds/linux,c4c896e1471aec3b004a693c689f60be3b17ac86,C,FAMILIAR
segoon,https://github.com/torvalds/linux,43629f8f5ea32a998d06d1bb41eefa0e821ff573,C,FAMILIAR
segoon,https://github.com/torvalds/linux,d846f71195d57b0bbb143382647c2c6638b04c5a,C,FAMILIAR
autor nulo,https://github.com/torvalds/linux,1309d7afbed112f0e8e90be9af975550caa0076b,Shell,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,d370af0ef7951188daeb15bae75db7ba57c67846,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,da48524eb20662618854bb3df2db01fc65f3070c,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,b769f49463711205d57286e64cf535ed4daf59e9,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,4d00135a680727f6c3be78f8befaac009030e4df,C,NÃO FAMILIAR
eparis,https://github.com/torvalds/linux,d0de4dc584ec6aa3b26fffea320a8457827768fc,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,be20250c13f88375345ad99950190685eda51eb8,C,NÃO FAMILIAR
jedisct1,https://github.com/jedisct1/pure-ftpd,65c4d4ad331e94661de763e9b5304d28698999c4,C,FAMILIAR
jtlayton,https://github.com/torvalds/linux,4ff67b720c02c36e54d55b88c2931879b7db1cd2,C,FAMILIAR
autor nulo,https://github.com/xfce-mirror/thunar,03dd312e157d4fa8a11d5fa402706ae5b05806fa,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,0f22072ab50cac7983f9660d33974b45184da4f9,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c2892f02712e9516d72841d5c019ed6916329794,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,d5aa407f59f5b83d2c50ec88f5bf56d40f1f8978,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,764355487ea220fdc2faf128d577d7f679b91f97,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,64f3b9e203bd06855072e295557dca1485a2ecba,C,NÃO FAMILIAR
jcameron,https://github.com/webmin/webmin,46e3d3ad195dcdc1af1795c96b6e0dc778fb6881,Perl,FAMILIAR
autor nulo,https://github.com/FFmpeg/FFmpeg,8312e3fc9041027a33c8bc667bb99740fdf41dd5,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,cae13fe4cc3f24820ffb990c09110626837e85d4,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,2b472611a32a72f4a118c069c2d62a1a3f087afd,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,21c5977a836e399fc710ff2c5367845ed5c2527f,C,NÃO FAMILIAR
aagit,https://github.com/torvalds/linux,78f11a255749d09025f54d4e2df4fbcb031530e2,C,FAMILIAR
autor nulo,https://github.com/torvalds/linux,ea2bc483ff5caada7c4aa0d5fbf87d3a6590273d,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,0b760113a3a155269a3fba93a409c640031dd68f,C,NÃO FAMILIAR
taoma-tm,https://github.com/torvalds/linux,0449641130f5652b344ef6fa39fa019d7e94660a,C,FAMILIAR
torvalds,https://github.com/torvalds/linux,1a51410abe7d0ee4b1d112780f46df87d3621043,C,FAMILIAR
segoon,https://github.com/torvalds/linux,1d1221f375c94ef961ba8574ac4f85c8870ddd51,C,FAMILIAR
torvalds,https://github.com/torvalds/linux,982134ba62618c2d69fbbbd166d0a11ee3b7e3d8,C,FAMILIAR
autor nulo,https://github.com/torvalds/linux,208c72f4fe44fe09577e7975ba0e7fa0278f3d03,C,NÃO FAMILIAR
