username,repositorio,hash,linguagem_programacao,Classificacao,tempo_criacao
Synchro,https://github.com/PHPMailer/PHPMailer,8beacc646acb67c995aea10ac5585970efc7355a,Markdown,NÃO FAMILIAR,2009-05-06 09:20:39+00:00
AndyA,https://github.com/AndyA/CGI--Simple,e4942b871a26c1317a175a91ebb7262eea59b380,Perl,NÃO FAMILIAR,2008-09-24 10:13:01+00:00
pawelz,https://github.com/Dieterbe/uzbl,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,Batchfile,NÃO FAMILIAR,2009-06-01 19:55:21+00:00
ebruchez,https://github.com/orbeon/orbeon-forms,aba6681660f65af7f1676434da68c10298c30200,Java,NÃO FAMILIAR,2009-07-16 21:48:02+00:00
eparis,https://github.com/torvalds/linux,a2ae4cc9a16e211c8a128ba10d22a85431f093ab,C,NÃO FAMILIAR,2014-07-07 17:57:15+00:00
adrianschroeter,https://github.com/openSUSE/open-build-service,23c8d21c75242999e29379e6ca8418a14c8725c6,Perl,NÃO FAMILIAR,2011-09-21 07:10:12+00:00
adrianschroeter,https://github.com/openSUSE/open-build-service,76b0ab003f34435ca90d943e02dd22279cdeec2a,Shell,NÃO FAMILIAR,2011-09-21 07:10:12+00:00
eparis,https://github.com/torvalds/linux,d0de4dc584ec6aa3b26fffea320a8457827768fc,C,NÃO FAMILIAR,2014-07-07 17:57:15+00:00
jrn,https://github.com/torvalds/linux,aba8d056078e47350d85b06a9cabd5afcc4b72ea,C,NÃO FAMILIAR,2010-05-19 17:43:35+00:00
coolo,https://github.com/openSUSE/open-build-service,cbfe2ed36dd77c0843702935dea7f914bb599201,Ruby,NÃO FAMILIAR,2011-09-21 07:33:28+00:00
linvjw,https://github.com/torvalds/linux,c85ce65ecac078ab1a1835c87c4a6319cf74660a,C,NÃO FAMILIAR,2014-09-25 14:40:56+00:00
androsadamson,https://github.com/torvalds/linux,bf118a342f10dafe44b14451a1392c3254629a1f,C,NÃO FAMILIAR,2013-03-18 16:25:26+00:00
adrianschroeter,https://github.com/openSUSE/open-build-service,5281e4bff9df31f1f91e22a0d1e9086b93b23d7e,Ruby,NÃO FAMILIAR,2011-09-21 07:10:12+00:00
coderanger,https://github.com/opscode/chef,a4ea6edab2fecb922f999cffb0daa04eeeec7a26,Ruby,NÃO FAMILIAR,2009-09-17 18:54:00+00:00
lalinsky,https://github.com/taglib/taglib,77d61c6eca4d08b9b025738acf6b926cc750db23,C++,NÃO FAMILIAR,2010-03-11 19:55:55+00:00
franklai,https://github.com/taglib/taglib,b3646a07348ffa276ea41a9dae03ddc63ea6c532,C++,NÃO FAMILIAR,2010-07-08 18:18:50+00:00
nijel,https://github.com/phpmyadmin/phpmyadmin,86073d532aed656550cb731aa5b4288b126ae7a6,JavaScript,NÃO FAMILIAR,2010-02-27 21:01:04+00:00
SesterhennEric,https://github.com/torvalds/linux,d0772b70faaf8e9f2013b6c4273d94d5eac8047a,C,NÃO FAMILIAR,2013-11-22 17:44:25+00:00
