username,repositorio,hash,linguagem_programacao
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,7647a7b53ceab31524cfcfb3beb8435af0a30fc1,PHP
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,942c406fcee5d376235a264cb8a79300a0002d20,PHP
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,bcf7b971b5c88ea08d2dc47685f319be3b02cea8,PHP
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,d27690c6cb7708a6db0701b6428381d32d51495a,PHP
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,e2d88c9d7f8e02640ba65e5ff74b55d0399a53d0,PHP
awesomekling,https://github.com/SerenityOS/serenity,0fc24fe2564736689859e7edfa177a86dac36bf9,C++
jedisct1,https://github.com/jedisct1/pure-ftpd,aea56f4bcb9948d456f3fae4d044fd3fa2e19706,C
autor nulo,https://github.com/nginx/nginx,c1be55f97211d38b69ac0c2027e6812ab8b1b94e,HTML
error ao obter,https://bitbucket.org/ritt/elog,eefdabb714f26192f585083ef96c8413e459a1d1,C
error ao obter,https://bitbucket.org/ritt/elog,993bed4923c88593cc6b1186e0d1b9564994a25a,C
fmancardi,https://github.com/TestLinkOpenSourceTRMS/testlink-code,cde692895e425731e6951d265a01ca6425a7c26e,PHP
hexiaowen,https://github.com/systemd/systemd,b2774a3ae692113e1f47a336a6c09bac9cfb49ad,C
haoren3696,https://github.com/openSUSE/libsolv,fdb9c9c03508990e4583046b590c30d958f272da,C
autor nulo,https://github.com/torvalds/linux,7b09c2d052db4b4ad0b27b97918b46a7746966fa,C
tuexen,https://github.com/sctplab/usrsctp,790a7a2555aefb392a5a69923f1e9d17b4968467,C
jeanlf,https://github.com/gpac/gpac,1ab4860609f2e7a35634930571e7d0531297e090,C
jeanlf,https://github.com/gpac/gpac,98b727637e32d1d4824101d8947e2dbd573d4fc8,C
jeanlf,https://github.com/gpac/gpac,2320eb73afba753b39b7147be91f7be7afc0eeb7,C
