username,repositorio,hash,linguagem_programacao
bel2125,https://github.com/civetweb/civetweb,8fd069f6dedb064339f1091069ac96f3f8bdb552,C
autor nulo,https://github.com/GNOME/gimp,c21eff4b031acb04fb4dfce8bd5fdfecc2b6524f,C
madjam,https://github.com/dmlc/ps-lite,4be817e8b03e7e92517e91f2dfcc50865e91c6ea,C++
autor nulo,https://github.com/torvalds/linux,78c9c4dfbf8c04883941445a195276bb4bb92c76,C
felixwilhelm,https://github.com/torvalds/linux,727ba748e110b4de50d142edca9d6a9b7e6111d8,C
shantuo,https://github.com/golang/gddo,daffe1f90ec57f8ed69464f9094753fc6452e983,Go
aureliendavid,https://github.com/gpac/gpac,bceb03fd2be95097a7b409ea59914f332fb6bc86,C
dregad,https://github.com/mantisbt/mantisbt,4efac90ed89a5c009108b641e2e95683791a165a,PHP
autor nulo,https://github.com/torvalds/linux,afca6c5b2595fc44383919fba740c194b0b76aff,C
sandeen,https://github.com/torvalds/linux,bb3d48dcf86a97dc25fe9fc2c11938e19cb4399a,C
autor nulo,https://github.com/torvalds/linux,23fcb3340d033d9f081e21e6c12c2db7eaa541d3,C
michaelni,https://github.com/FFmpeg/FFmpeg,95556e27e2c1d56d9e18f5db34d6f756f3011148,C
michaelni,https://github.com/FFmpeg/FFmpeg,2aa9047486dbff12d9e040f917e5f799ed2fd78b,C
michaelni,https://github.com/FFmpeg/FFmpeg,ed22dc22216f74c75ee7901f82649e1ff725ba50,C
michaelni,https://github.com/FFmpeg/FFmpeg,00e8181bd97c834fe60751b0c511d4bb97875f78,C
michaelni,https://github.com/FFmpeg/FFmpeg,bd27a9364ca274ca97f1df6d984e88a0700fb235,C
michaelni,https://github.com/FFmpeg/FFmpeg,d08d4a8c7387e758d439b0592782e4cfa2b4d6a4,C
torvalds,https://github.com/torvalds/linux,0fa3ecd87848c9c93c2c828ef4c3a8ca36ce46c7,C
kees,https://github.com/torvalds/linux,9f645bcc566a1e9f921bdae7528a01ced5bc3713,C
zerocrates,https://github.com/omeka/Omeka,ba841892116544847d76d3838781c9708cb92221,JavaScript
eldy,https://github.com/Dolibarr/dolibarr,36402c22eef49d60edd73a2f312f8e28fe0bd1cb,PHP
ctruta,https://github.com/glennrp/libpng,8a05766cb74af05c04c53e6c9d60c13fc4d59bf2,C
fabpot,https://github.com/twigphp/Twig,eddb97148ad779f27e670e1e3f19fb323aedafeb,Markdown
mbroadst,https://github.com/mongodb/js-bson,bd61c45157c53a1698ff23770160cf4783e9ea4a,JavaScript
autor nulo,https://github.com/smarty-php/smarty,2e081a51b1effddb23f87952959139ac62654d50,PHP
autor nulo,https://github.com/smarty-php/smarty,8d21f38dc35c4cd6b31c2f23fc9b8e5adbc56dfe,Markdown
autor nulo,https://github.com/smarty-php/smarty,bcedfd6b58bed4a7366336979ebaa5a240581531,Markdown
autor nulo,https://github.com/smarty-php/smarty,c9dbe1d08c081912d02bd851d1d1b6388f6133d1,PHP
autor nulo,https://github.com/smarty-php/smarty,f9ca3c63d1250bb56b2bda609dcc9dd81f0065f8,Markdown
radare,https://github.com/radareorg/radare2,d37d2b858ac47f2f108034be0bcecadaddfbc8b3,Lua
radare,https://github.com/radareorg/radare2,eb7deb281df54771fb8ecf5890dc325a7d22d3e2,C
radare,https://github.com/radareorg/radare2,e9ce0d64faf19fa4e9c260250fbdf25e3c11e152,C++
user-none,https://github.com/Monetra/mstdlib,db124b8f607dd0a40a9aef2d4d468fad433522a7,C
DarthGandalf,https://github.com/znc/znc,a7bfbd93812950b7444841431e8e297e62cb524e,C++
DarthGandalf,https://github.com/znc/znc,d22fef8620cdd87490754f607e7153979731c69d,C++
DarthGandalf,https://github.com/znc/znc,a4a5aeeb17d32937d8c7d743dae9a4cc755ce773,C++
cyberhobo,https://github.com/cyberhobo/wordpress-geo-mashup,838e2fe15a2328f5ae3dfc75d90e420509286f2f,PHP
Vogtinator,https://github.com/sddm/sddm,147cec383892d143b5e02daa70f1e7def50f5d98,C++
jeriko-one,https://github.com/neomutt/neomutt,36a29280448097f34ce9c94606195f2ac643fed1,C
jeriko-one,https://gitlab.com/muttmua/mutt,9347b5c01dc52682cb6be11539d9b7ebceae4416,C
jeriko-one,https://github.com/neomutt/neomutt,1b0f0d0988e6df4e32e9f4bf8780846ea95d4485,C
kevin8t8,https://gitlab.com/muttmua/mutt,3287534daa3beac68e2e83ca4b4fe8a3148ff870,C
jeriko-one,https://github.com/neomutt/neomutt,3c49c44be9b459d9c616bcaef6eb5d51298c1741,C
kevin8t8,https://gitlab.com/muttmua/mutt,e57a8602b45f58edf7b3ffb61bb17525d75dfcb1,C
kevin8t8,https://gitlab.com/muttmua/mutt,e0131852c6059107939893016c8ff56b6e42865d,C
jeriko-one,https://github.com/neomutt/neomutt,e27b65b3bf8defa34db58919496056caf3850cd4,C
jeriko-one,https://github.com/neomutt/neomutt,65d64a5b60a4a3883f2cd799d92c6091d8854f23,C
kevin8t8,https://gitlab.com/muttmua/mutt,185152818541f5cdc059cbff3f3e8b654fc27c1d,C
jeriko-one,https://github.com/neomutt/neomutt,95e80bf9ff10f68cb6443f760b85df4117cb15eb,C
flatcap,https://gitlab.com/muttmua/mutt,31eef6c766f47df8281942d19f76e35f475c781d,C
flatcap,https://github.com/neomutt/neomutt,57971dba06346b2d7179294f4528b8d4427a7c5d,C
jeriko-one,https://github.com/neomutt/neomutt,93b8ac558752d09e1c56d4f1bc82631316fa9c82,C
jeriko-one,https://gitlab.com/muttmua/mutt,e154cba1b3fc52bb8cb8aa846353c0db79b5d9c6,C
flatcap,https://github.com/neomutt/neomutt,e52393740334443ae0206cab2d7caef381646725,C
